MSR_CA1,HInfo_CA1,MSR_SUB,HInfo_SUB,MSR_posCA1,HInfo_posCA1,MSR_posSUB,HInfo_posSUB
0.29779345175000005,0.26641512255,0.2829697906,0.2160493393,0.29779345175000005,0.09732330115,0.2829697906,0.1790655873
0.2937636625,0.33229251725,0.2745100089,0.2684931109,0.2937636625,0.09364846925,0.2745100089,0.1803942588
0.2950081952,0.31377123465,0.2767093269,0.2168347586,0.2950081952,0.0882933498,0.2767093269,0.2656229363
0.29496416340000003,0.2201267956,0.2715398506,0.19410544470000002,0.29496416340000003,0.1312159309,0.2715398506,0.2295401946
0.29448972925,0.51817994325,0.27264637185,0.2047169385,0.29448972925,0.04247151615,0.27264637185,0.2175365098
0.29612587118,0.26234797278,0.2700038251,0.16103824660000002,0.29612587118,0.11351473498,0.2700038251,0.2252017254
0.29713309045,0.3683812781,0.288373253,0.288571925,0.29713309045,0.0760510112,0.288373253,0.19950647400000002
0.29611821215,0.34059528085,0.2797852543,0.2501610855,0.29611821215,0.0979823896,0.2797852543,0.34113526180000003
0.296278798425,0.15834440302500002,0.2857088138,0.20197224390000001,0.296278798425,0.138307430275,0.2857088138,0.28280772060000003
0.2943759264,0.3139782644666667,0.2699727044,0.20855717000000001,0.2943759264,0.09586853176666667,0.2699727044,0.2162875343
0.29363282850000005,0.28492251625000004,0.2621063637,0.1311399804,0.29363282850000005,0.10833224945,0.2621063637,0.1328921563
0.26022221125,0.046818895650000004,0.2769566141,0.11183660956666668,0.26022221125,0.28051088960000004,0.2769566141,0.29729685720000004
0.2975061004333333,0.2201999439333333,0.26713878570000005,0.09216790340000001,0.2975061004333333,0.1217255939,0.26713878570000005,0.2302418165333333
0.2953188554,0.2379748855,0.28032032846666666,0.6695804068666668,0.2953188554,0.1036708509,0.28032032846666666,0.0694788329
0.2968512211,0.2055078628,0.2622615781,0.07433708166666668,0.2968512211,0.1246736699,0.2622615781,0.24419716633333333
0.2932377672,0.2042871621,0.26500024398,0.08755947132,0.2932377672,0.1734516784,0.26500024398,0.23229707576000003
0.29730395930000003,0.1740374671,0.2766471316,0.1292426596,0.29730395930000003,0.1603340069,0.2766471316,0.33286097695
0.2988599611,0.5530115681000001,0.2727262152,0.0850792509,0.2988599611,0.10270996510000001,0.2727262152,0.2657733068
0.2985752481,0.325399368,0.26911381830000003,0.1029894598,0.2985752481,0.1031713961,0.26911381830000003,0.2017545939
0.2962989632,0.1673085243,0.2762192327352941,0.1655699266117647,0.2962989632,0.1553707118,0.2762192327352941,0.25909615529411767
0.2910487412,0.35959253235,0.2731448722333334,0.16136657536666665,0.2910487412,0.08038910305000001,0.2731448722333334,0.26900688603333334
0.2917847051,0.4660482650000001,0.2651371887,0.113316922,0.2917847051,0.07205193025000001,0.2651371887,0.44218274630000004
0.2950622807,0.20614699522500002,0.26891684421999995,0.1052057587,0.2950622807,0.123530568,0.26891684421999995,0.23715098802
0.29393025275,0.33633158345,0.2743082446818182,0.13268012826363637,0.29393025275,0.10241736535000001,0.2743082446818182,0.2345026326
0.2879024766,0.39541619615,0.28502776175,0.2059656175,0.2879024766,0.0634574227,0.28502776175,0.30967726735
0.2669102828,0.0469503466,0.2768080182,0.1650243238,0.2669102828,0.30705997915,0.2768080182,0.2749197258
0.2908207011,0.39291732160000004,0.27521744665,0.16643553155000002,0.2908207011,0.07360410565,0.27521744665,0.27837384642499996
0.2644434174,0.09077153375,0.2777432696111111,0.16225338928333335,0.2644434174,0.15995064715,0.2777432696111111,0.23339836467777778
0.2978026491,0.24287990920000002,0.26543485974000003,0.10004262856000001,0.2978026491,0.0884625089,0.26543485974000003,0.25560654668000005
0.2934060174,0.3483960951,0.26384419178333335,0.10757219951666668,0.2934060174,0.0911255242,0.26384419178333335,0.23838145445833334
0.29681192970000003,0.3685680166,0.2673222004,0.11549661872500001,0.29681192970000003,0.0897516191,0.2673222004,0.3143509319000001
0.2947144358,0.6966999776,0.2646734991,0.0889379386,0.2947144358,0.0950467628,0.2646734991,0.3391213631
0.2976597198,0.2828925449,0.2656379039904762,0.16881099369523808,0.2976597198,0.0686136941,0.2656379039904762,0.23907267759047626
0.29569713200000003,0.1436361499,0.2697424581,0.11555736670000001,0.29569713200000003,0.1244633547,0.2697424581,0.3854982669
0.29672804810000003,0.21583628370000002,0.2684644963181818,0.11774823659090909,0.29672804810000003,0.1246536902,0.2684644963181818,0.20445611293636368
0.29434872230000003,0.20076687040000002,0.27430080686666664,0.13585791156666668,0.29434872230000003,0.1455145812,0.27430080686666664,0.23678351293333333
