Nspike_CA1,OHS_CA1,Nspike_SUB,OHS_SUB,Nspike_posCA1,OHS_posSUB,Nspike_posSUB,OHS_posCA1
745.5,0.7926165187,2556.0,0.8256770323,745.5,0.8964431481,2556.0,0.8813278866
850.0,0.79343349745,2557.0,0.8683912635000001,850.0,0.8846108486500001,2557.0,0.9050924124
548.5,0.75111520145,5866.0,0.8674056553,548.5,0.8728824291,5866.0,0.9120189887000001
834.0,0.8196341523,3394.0,0.8521043315,834.0,0.8890739896000001,3394.0,0.8980231301
122.5,0.8201403361,4005.0,0.8681657346,122.5,0.8115622759500001,4005.0,0.9168179429500001
895.0,0.77465007268,3666.0,0.8936629299000001,895.0,0.88417322352,3666.0,0.8963249392
407.0,0.75634294965,3924.0,0.7806184289,407.0,0.8848133839000001,3924.0,0.9005799218
678.0,0.78915504215,9478.0,0.8460710638000001,678.0,0.8960455326000001,9478.0,0.9117054985
1890.0,0.7861794835000001,6342.0,0.8379074251,1890.0,0.896837039225,6342.0,0.9029582696
629.6666666666666,0.7801160790333334,3528.0,0.8944624103000001,629.6666666666666,0.8873709437000001,3528.0,0.9125540614000001
676.5,0.7646415591,1532.0,0.8772759226,676.5,0.90510106235,1532.0,0.9082535723
8360.0,0.90154444055,8983.333333333334,0.8478974856,8360.0,0.9102371439000001,8983.333333333334,0.9235448467333334
996.3333333333334,0.7913433037333334,4145.333333333333,0.8996098207666666,996.3333333333334,0.8923047122,4145.333333333333,0.9194183781
721.0,0.7941439228,304.6666666666667,0.8173441175000001,721.0,0.8834876058000001,304.6666666666667,0.8816434799
1110.0,0.7650805123000001,4146.0,0.8990814075333334,1110.0,0.8893909642000001,4146.0,0.9117269531666666
2144.0,0.8397259754,4702.6,0.8974462569,2144.0,0.8978739630000001,4702.6,0.91204983332
1484.0,0.7961423421,9438.5,0.8640682425000001,1484.0,0.9073438952,9438.5,0.9173343876
809.0,0.8348142038,10966.0,0.8795911941000001,809.0,0.8690910366,10966.0,0.9187303670000001
512.0,0.7817854211,3828.0,0.8965066211,512.0,0.8915595140000001,3828.0,0.9113994916
2044.0,0.8216670422,5559.411764705882,0.8581039740882354,2044.0,0.8949746398,5559.411764705882,0.9099102382058825
412.0,0.75573774775,5924.0,0.8623919694666667,412.0,0.8876163488000001,5924.0,0.9095350401000001
232.0,0.80978635,20888.0,0.9129138547,232.0,0.86786582295,20888.0,0.91202558385
918.5,0.776439345325,4136.6,0.89219970764,918.5,0.904185836625,4136.6,0.91207529936
589.0,0.77916292385,4988.909090909091,0.8733351576272728,589.0,0.8840054148000001,4988.909090909091,0.9107448192909092
303.0,0.8036069654,10840.5,0.84970570725,303.0,0.86672361585,10840.5,0.9116996514
7442.0,0.86508883105,5516.333333333333,0.8502467865333333,7442.0,0.9115671281000001,5516.333333333333,0.9128105164333333
283.5,0.7671495639500001,5479.75,0.8595305403000001,283.5,0.8765181423500001,5479.75,0.9104643638
2053.5,0.90000704555,5034.0,0.845751358838889,2053.5,0.89627607205,5034.0,0.9106917415833333
684.0,0.8074765469,6667.2,0.88798723556,684.0,0.8813067168000001,6667.2,0.9140232798400001
508.0,0.7590043296000001,5108.25,0.8885877849083333,508.0,0.8701314564,5108.25,0.90924634755
317.0,0.8186625774,9048.0,0.8880826062,317.0,0.84797818,9048.0,0.91852634325
624.0,0.7400663625,7407.0,0.9082307561,624.0,0.9017093779,7407.0,0.9187906506
500.0,0.7476420637000001,5225.190476190476,0.8862206263047618,500.0,0.8557506272000001,5225.190476190476,0.9129083834333335
937.0,0.8438648240000001,7739.0,0.8607454312,937.0,0.9045331517,7739.0,0.9085856817
782.0,0.8149484057,3579.5454545454545,0.8822863238090908,782.0,0.9125757236,3579.5454545454545,0.9019074099727273
1282.0,0.7994997872,5781.666666666667,0.8670483943666666,1282.0,0.8607235381,5781.666666666667,0.9149834371333334
865.0,0.7682521216,2901.9523809523807,0.887897885295238,865.0,0.8760072316,2901.9523809523807,0.9071194201809525
186.0,0.8041946506000001,3277.75,0.889218146435,186.0,0.9061294476,3277.75,0.9114170176749999
434.0,0.77958552695,15251.0,0.9080326233235293,434.0,0.8680156442,15251.0,0.9227519323235294
428.0,0.7784516090000001,6649.25,0.840301864125,428.0,0.8956465796,6649.25,0.9177080512
1458.5,0.79719203065,12107.0,0.8493439311000001,1458.5,0.89734630635,12107.0,0.9244652723000001
1846.6666666666667,0.8111023748666667,1667.0,0.8801054291,1846.6666666666667,0.9096580703,1667.0,0.8838574424000001
4832.0,0.9183541179,1998.6363636363637,0.8680936306,4832.0,0.9198807823,1998.6363636363637,0.9005856642545456
4559.0,0.8745389882,7636.375,0.9120339744875001,4559.0,0.8985115273000001,7636.375,0.9179635593625001
936.0,0.8059690966,5165.25,0.8812751347000001,936.0,0.8660714342,5165.25,0.9175026718
384.0,0.80164447445,10277.0,0.8122865033666667,384.0,0.84479246585,10277.0,0.9166797817666668
189.5,0.7897091342,2520.3333333333335,0.8941405051333334,189.5,0.8932964008500001,2520.3333333333335,0.9081889618666668
124.0,0.8087603211000001,4464.888888888889,0.8894865178833332,124.0,0.8462350681,4464.888888888889,0.9073064659388889
138.0,0.7915762850000001,4201.0,0.8734491923666668,138.0,0.8306387403000001,4201.0,0.9074503265000001
1728.0,0.7246159875,627.3333333333334,0.8104883812333333,1728.0,0.90456746345,627.3333333333334,0.8688260464666667
2287.0,0.7869414758000001,13203.75,0.874821941125,2287.0,0.8994864259,13203.75,0.9234824502000001
