OHK_CA1,HInfo_CA1,OHK_SUB,HInfo_SUB,OHK_posCA1,HInfo_posCA1,OHK_posSUB,HInfo_posSUB
0.3775696402,0.26641512255,0.2942187411,0.2160493393,0.3775696402,0.09732330115,0.2942187411,0.1790655873
0.36357306345,0.33229251725,0.23977258740000001,0.2684931109,0.36357306345,0.09364846925,0.23977258740000001,0.1803942588
0.41231615465000004,0.31377123465,0.22812684090000002,0.2168347586,0.41231615465000004,0.0882933498,0.22812684090000002,0.2656229363
0.3467512733,0.2201267956,0.2503860833,0.19410544470000002,0.3467512733,0.1312159309,0.2503860833,0.2295401946
0.36633371465,0.51817994325,0.23158399915,0.2047169385,0.36633371465,0.04247151615,0.23158399915,0.2175365098
0.39099260254,0.26234797278,0.2029857746,0.16103824660000002,0.39099260254,0.11351473498,0.2029857746,0.2252017254
0.4183508201,0.3683812781,0.34953051160000004,0.288571925,0.4183508201,0.0760510112,0.34953051160000004,0.19950647400000002
0.37778021100000003,0.34059528085,0.2563537703,0.2501610855,0.37778021100000003,0.0979823896,0.2563537703,0.34113526180000003
0.368510123875,0.15834440302500002,0.27755843150000004,0.20197224390000001,0.368510123875,0.138307430275,0.27755843150000004,0.28280772060000003
0.37890105553333336,0.3139782644666667,0.2053814987,0.20855717000000001,0.37890105553333336,0.09586853176666667,0.2053814987,0.2162875343
0.40188291605000004,0.28492251625000004,0.22891704810000002,0.1311399804,0.40188291605000004,0.10833224945,0.22891704810000002,0.1328921563
0.18633916805,0.046818895650000004,0.24774143933333334,0.11183660956666668,0.18633916805,0.28051088960000004,0.24774143933333334,0.29729685720000004
0.3771705181,0.2201999439333333,0.19677194803333334,0.09216790340000001,0.3771705181,0.1217255939,0.19677194803333334,0.2302418165333333
0.374804295,0.2379748855,0.3657692164,0.6695804068666668,0.374804295,0.1036708509,0.3657692164,0.0694788329
0.3915981088,0.2055078628,0.19681242033333335,0.07433708166666668,0.3915981088,0.1246736699,0.19681242033333335,0.24419716633333333
0.2972930385,0.2042871621,0.19560004116000002,0.08755947132,0.2972930385,0.1734516784,0.19560004116000002,0.23229707576000003
0.3695803267,0.1740374671,0.2347197217,0.1292426596,0.3695803267,0.1603340069,0.2347197217,0.33286097695
0.3229960879,0.5530115681000001,0.2144914632,0.0850792509,0.3229960879,0.10270996510000001,0.2144914632,0.2657733068
0.40097389720000004,0.325399368,0.200802001,0.1029894598,0.40097389720000004,0.1031713961,0.200802001,0.2017545939
0.3364511133,0.1673085243,0.24213341750588235,0.1655699266117647,0.3364511133,0.1553707118,0.24213341750588235,0.25909615529411767
0.40523842220000006,0.35959253235,0.2326290752,0.16136657536666665,0.40523842220000006,0.08038910305000001,0.2326290752,0.26900688603333334
0.3520630766,0.4660482650000001,0.16166685940000003,0.113316922,0.3520630766,0.07205193025000001,0.16166685940000003,0.44218274630000004
0.386307478225,0.20614699522500002,0.20761192918,0.1052057587,0.386307478225,0.123530568,0.20761192918,0.23715098802
0.38304058944999997,0.33633158345,0.22953118060909095,0.13268012826363637,0.38304058944999997,0.10241736535000001,0.22953118060909095,0.2345026326
0.35712776700000004,0.39541619615,0.2688407547,0.2059656175,0.35712776700000004,0.0634574227,0.2688407547,0.30967726735
0.2314531001,0.0469503466,0.2554837248333333,0.1650243238,0.2314531001,0.30705997915,0.2554837248333333,0.2749197258
0.39576740465000004,0.39291732160000004,0.243129051675,0.16643553155000002,0.39576740465000004,0.07360410565,0.243129051675,0.27837384642499996
0.20284725920000002,0.09077153375,0.2632168072666667,0.16225338928333335,0.20284725920000002,0.15995064715,0.2632168072666667,0.23339836467777778
0.3713375054,0.24287990920000002,0.20283817412,0.10004262856000001,0.3713375054,0.0884625089,0.20283817412,0.25560654668000005
0.40830971930000004,0.3483960951,0.20486366750833337,0.10757219951666668,0.40830971930000004,0.0911255242,0.20486366750833337,0.23838145445833334
0.3640393751,0.3685680166,0.1989523976,0.11549661872500001,0.3640393751,0.0897516191,0.1989523976,0.3143509319000001
0.4152900118,0.6966999776,0.18309742610000002,0.0889379386,0.4152900118,0.0950467628,0.18309742610000002,0.3391213631
0.4162813891,0.2828925449,0.20552769238571433,0.16881099369523808,0.4162813891,0.0686136941,0.20552769238571433,0.23907267759047626
