Nspikes,OHK-OR_CA1,Rmax_OHK-OR_CA1,Nspikes,OHK-OR_SUB,Rmax_OHK-OR_SUB,Nspikes,OHK-AND_CA1,Rmax_OHK-AND_CA1,Nspikes,OHK-AND_SUB,Rmax_OHK-AND_SUB,Poss_Nspikes,OHK-PossOR_CA1,Rmax_OHK-PossOR_CA1,Poss_Nspikes,OHK-PossOR_SUB,Rmax_OHK-PossOR_SUB,Poss_Nspikes,OHK-PossAND_CA1,Rmax_OHK-PossAND_CA1,Poss_Nspikes,OHK-PossAND_SUB,Rmax_OHK-PossAND_SUB
0.0,0.3714477084,0.370571351825,0.0,0.209180777,0.261172791,0.0,0.0,0.370571351825,0.0,0.0,0.261172791,15.0,0.23413678335000002,0.24067276157500003,15.0,0.1768337113,0.18986624410000003,15.0,0.0,0.24067276157500003,15.0,0.3728194395,0.18986624410000003
0.0,0.3742440715,0.394942897425,0.0,0.19342857130000002,0.2607306716,0.0,0.0,0.394942897425,0.0,0.0,0.2607306716,4.0,0.22926789160000002,0.24555365102500004,4.0,0.17767307810000002,0.18160116415,4.0,0.0,0.24555365102500004,4.0,0.5,0.18160116415
0.0,0.3149559806,0.36333685655000003,0.0,0.27267084070000003,0.32187462635,0.0,0.0,0.36333685655000003,0.0,0.0,0.32187462635,14.0,0.2093077076,0.23914647655000001,14.0,0.1792779787,0.18419283035,14.0,0.0,0.23914647655000001,14.0,0.39203439100000004,0.18419283035
0.0,0.36229909585,0.371951677425,0.0,0.2292502381,0.2858885863,0.0,0.0,0.371951677425,0.0,0.0,0.2858885863,12.0,0.24464210715,0.291342828975,12.0,0.1526676828,0.18599126505000002,12.0,0.0,0.291342828975,12.0,0.43364056640000004,0.18599126505000002
0.0,0.3633089485,0.37360583295,0.0,0.1954691664,0.24507933535,0.0,0.0,0.37360583295,0.0,0.0,0.24507933535,8.0,0.220643938,0.22318258805000002,8.0,0.1619052715,0.19465948640000003,8.0,0.0,0.22318258805000002,8.0,0.5204260415,0.19465948640000003
0.0,0.35677563,0.39796023015000004,0.0,0.20404522160000002,0.23784899180000002,0.0,0.0,0.39796023015000004,0.0,0.0,0.23784899180000002,7.0,0.22795986465,0.24491141230000002,7.0,0.166209441,0.18851197445,7.0,0.0,0.24491141230000002,7.0,0.5544923071,0.18851197445
0.0,0.35601587095,0.37767492560000004,0.0,0.1827054467,0.221379181,0.0,0.0,0.37767492560000004,0.0,0.0,0.221379181,8.0,0.22178692125,0.254125250675,8.0,0.151610473,0.1938377355,8.0,0.0,0.254125250675,8.0,0.5204260415,0.1938377355
1.0,0.3387316562,0.369290899975,1.0,0.23736418410000001,0.24806317885,1.0,0.0,0.369290899975,1.0,0.0,0.24806317885,13.0,0.19899720745000002,0.23165221845,13.0,0.1673706465,0.1795953602,13.0,0.0,0.23165221845,13.0,0.4124469053,0.1795953602
0.0,0.39008879335,0.407335603475,0.0,0.1909992478,0.22257704305,0.0,0.0,0.407335603475,0.0,0.0,0.22257704305,10.0,0.22358488910000002,0.239909777725,10.0,0.18534289410000002,0.196575084,10.0,0.0,0.239909777725,10.0,0.4729032506,0.196575084
1.0,0.36934803465,0.393714509375,1.0,0.20838006280000002,0.23434481775000002,1.0,0.0,0.393714509375,1.0,0.0,0.23434481775000002,4.0,0.19837931305,0.242925542875,4.0,0.2070838927,0.19225255005000003,4.0,0.0,0.242925542875,4.0,0.5,0.19225255005000003
1.0,0.3506670764,0.39998695895,1.0,0.20097541060000002,0.22768472150000002,1.0,0.0,0.39998695895,1.0,0.0,0.22768472150000002,10.0,0.21335257815000003,0.231046225625,10.0,0.1689049716,0.17248226315,10.0,0.0,0.231046225625,10.0,0.4471726223,0.17248226315
0.0,0.37904830089999997,0.38794460905,0.0,0.24672921600000003,0.28882867625,0.0,0.0,0.38794460905,0.0,0.0,0.28882867625,19.0,0.2131266565,0.23277924185000004,19.0,0.15896871270000001,0.17507392935,19.0,0.0,0.23277924185000004,19.0,0.4576372228,0.17507392935
0.0,0.3884780836,0.369268923,0.0,0.1980115698,0.2528426362,0.0,0.0,0.369268923,0.0,0.0,0.2528426362,18.0,0.1849204313,0.21238174835,18.0,0.15345054090000002,0.17687236405,18.0,0.0,0.21238174835,18.0,0.46166934870000004,0.17687236405
0.0,0.3524318232,0.36495338905,0.0,0.20309233670000001,0.24315573975,0.0,0.0,0.36495338905,0.0,0.0,0.24315573975,15.0,0.2246080815,0.2785684198,15.0,0.1712285533,0.18685057275,15.0,0.0,0.2785684198,15.0,0.3728194395,0.18685057275
0.0,0.4026637577,0.35367718975,0.0,0.1864312952,0.22668592895,0.0,0.0,0.35367718975,0.0,0.0,0.22668592895,19.0,0.19264172470000002,0.2243984979,19.0,0.1745611862,0.19217633380000002,19.0,0.0,0.2243984979,19.0,0.44548950340000004,0.19217633380000002
0.0,0.39017024295,0.390961941775,0.0,0.2465397044,0.25336992680000003,0.0,0.0,0.390961941775,0.0,0.0,0.25336992680000003,25.0,0.2189412021,0.23213700312500002,25.0,0.1564271498,0.17793395850000002,25.0,0.0,0.23213700312500002,25.0,0.3184520527,0.17793395850000002
0.0,0.3677067393,0.37067663722500005,0.0,0.1770172559,0.227883791,0.0,0.0,0.37067663722500005,0.0,0.0,0.227883791,15.0,0.19450648405,0.24135084150000002,15.0,0.1738702918,0.1949136823,15.0,0.5793801643000001,0.24135084150000002,15.0,0.3728194395,0.1949136823
0.0,0.33316332785,0.36229261160000004,0.0,0.1931439342,0.2396515657,0.0,0.0,0.36229261160000004,0.0,0.0,0.2396515657,5.0,0.19611182855,0.218877809275,5.0,0.1842850503,0.19059114835000002,5.0,0.0,0.218877809275,5.0,0.4181656601,0.19059114835000002
1.0,0.38243885580000003,0.4003373151,1.0,0.1752000334,0.2194555854,1.0,0.0,0.4003373151,1.0,0.0,0.2194555854,15.0,0.2161267739,0.22713536855000002,15.0,0.1525053697,0.18602882185000003,15.0,0.0,0.22713536855000002,15.0,0.3728194395,0.18602882185000003
0.0,0.35654534035,0.386716221,0.0,0.2268339455,0.28838655685000003,0.0,0.0,0.386716221,0.0,0.0,0.28838655685000003,17.0,0.22882883335,0.2301511337,17.0,0.1598762342,0.16680884940000001,17.0,0.0,0.2301511337,17.0,0.4781076858,0.16680884940000001
0.0,0.3703218142,0.39298867057500003,0.0,0.22517366130000002,0.24613958325000002,0.0,0.0,0.39298867057500003,0.0,0.0,0.24613958325000002,39.0,0.21465844595,0.21827181645,39.0,0.1527204345,0.17178644655000003,39.0,0.0,0.21827181645,39.0,0.3554970094,0.17178644655000003
0.0,0.3633192256,0.36404593,0.0,0.24311532090000001,0.25240051680000003,0.0,0.0,0.36404593,0.0,0.0,0.25240051680000003,28.0,0.2317871183,0.21567612245,28.0,0.1620172714,0.1686072841,28.0,0.0,0.21567612245,28.0,0.2701528818,0.1686072841
14.0,0.37367900965,0.38932493465,14.0,0.1786138214,0.22065344744999998,14.0,0.0,0.38932493465,14.0,0.39203439100000004,0.22065344744999998,15.0,0.23733166345,0.28344930925000006,15.0,0.1667456736,0.18876617035,15.0,0.0,0.28344930925000006,15.0,0.38954970910000003,0.18876617035
0.0,0.4136081414,0.40764327395,0.0,0.2192848563,0.23242122215,0.0,0.0,0.40764327395,0.0,0.0,0.23242122215,4.0,0.2553687166,0.23086590270000001,4.0,0.1841164652,0.1844436364,4.0,0.0,0.23086590270000001,4.0,0.5,0.1844436364
1.0,0.36647810975000006,0.415333487375,1.0,0.21039919,0.22966977245,1.0,0.0,0.415333487375,1.0,0.0,0.22966977245,37.0,0.20964780055,0.237017892575,37.0,0.1515972898,0.17711220760000002,37.0,0.0,0.237017892575,37.0,0.4222652311,0.17711220760000002
0.0,0.39529254225,0.39504818282500004,0.0,0.18338607410000002,0.20418363665,0.0,0.0,0.39504818282500004,0.0,0.0,0.20418363665,15.0,0.20270298055000002,0.24623173095,15.0,0.1697145425,0.19409193140000003,15.0,0.0,0.24623173095,15.0,0.3728194395,0.19409193140000003
1.0,0.35443902065,0.3866641572,1.0,0.19861229760000002,0.21595141135,1.0,0.0,0.3866641572,1.0,0.0,0.21595141135,6.0,0.19796251815000002,0.223758698725,6.0,0.1877417433,0.18976939745000002,6.0,0.0,0.223758698725,6.0,0.3552453213,0.18976939745000002
0.0,0.40477407195000004,0.42470886069999997,0.0,0.2515844673,0.31354447155000004,0.0,0.0,0.42470886069999997,0.0,0.0,0.31354447155000004,22.0,0.21310432595,0.23201625800000003,22.0,0.15026999130000002,0.17119895029999999,22.0,0.0,0.23201625800000003,22.0,0.4005693964,0.17119895029999999
1.0,0.3827073951,0.4110877666,1.0,0.20514211710000002,0.2308676345,1.0,0.5793801643000001,0.4110877666,1.0,0.0,0.2308676345,26.0,0.20825259420000003,0.23503202315000005,26.0,0.1512484693,0.17984955610000003,26.0,0.0,0.23503202315000005,26.0,0.2956478547,0.17984955610000003
0.0,0.40571548825000003,0.417360216175,0.0,0.2534048778,0.2426354092,0.0,0.5793801643000001,0.417360216175,0.0,0.0,0.2426354092,10.0,0.1873109524,0.22315270590000003,10.0,0.1597127852,0.17552702215000002,10.0,0.0,0.22315270590000003,10.0,0.4471726223,0.17552702215000002
1.0,0.3480258175,0.3688447987,1.0,0.21843566050000002,0.2171492734,1.0,0.0,0.3688447987,1.0,0.0,0.2171492734,6.0,0.23603731890000001,0.28036925775,6.0,0.1650556334,0.19250674595,6.0,0.0,0.28036925775,6.0,0.3552453213,0.19250674595
