Rmax_MSR,MSR-AND_CA1,Rmax_MSR,MSR-OR_CA1,PossRmax_MSR,MSR-PossAND_CA1,PossRmax_MSR,MSR-PossOR_CA1
0.29853435240000004,nan,0.29853435240000004,0.2943255953,0.2661268243,nan,0.2661268243,0.25629387165
0.29853435240000004,nan,0.29853435240000004,0.2958689444,0.2662734768,nan,0.2662734768,0.2554350718
0.29853435240000004,nan,0.29853435240000004,0.29414679200000005,0.2661268243,nan,0.2661268243,0.24861398710000002
0.29853435240000004,nan,0.29853435240000004,0.29688407024999997,0.2810720861,nan,0.2810720861,0.26160233495
0.2970910128,nan,0.2970910128,0.29514703600000003,0.2587295407,nan,0.2587295407,0.2600175616
0.2989353221,nan,0.2989353221,0.2966707877,0.2702743879,nan,0.2702743879,0.25636182085000003
0.29898470320000003,nan,0.29898470320000003,0.2934222609,0.2661268243,nan,0.2661268243,0.2575468744
0.29853435240000004,nan,0.29853435240000004,0.29501003335,0.2661268243,nan,0.2661268243,0.2532986193
0.29853435240000004,nan,0.29853435240000004,0.29601349025,0.2661268243,nan,0.2661268243,0.2527328149
0.29853435240000004,nan,0.29853435240000004,0.29459904589999997,0.2661268243,nan,0.2661268243,0.25287110595
0.29853435240000004,nan,0.29853435240000004,0.2957481095,0.2661268243,0.0,0.2661268243,0.2545351354
0.2962891593,nan,0.2962891593,0.29469031385,0.2662734768,nan,0.2662734768,0.25506781065
0.29496416340000003,nan,0.29496416340000003,0.2933868505,0.2555261786,nan,0.2555261786,0.2464154351
0.296375922,nan,0.296375922,0.29565278545000007,0.2810720861,nan,0.2810720861,0.25943798145
0.2970910128,nan,0.2970910128,0.2935250105,0.26564069090000003,0.0,0.26564069090000003,0.2503742652
0.2989353221,nan,0.2989353221,0.29482955355,0.2702743879,nan,0.2702743879,0.25800289735000004
0.29898470320000003,nan,0.29898470320000003,0.29206273945000005,0.26564069090000003,0.2896900821,0.26564069090000003,0.2506639488
0.2983329944,nan,0.2983329944,0.29512585285000004,0.26564069090000003,nan,0.26564069090000003,0.2546131479
0.2950527873,nan,0.2950527873,0.29566662555,0.26564069090000003,nan,0.26564069090000003,0.2575159603
0.2954715753,nan,0.2954715753,0.29420399645,0.26564069090000003,nan,0.26564069090000003,0.25474848125
0.2979326963,nan,0.2979326963,0.29466418505,0.26564069090000003,nan,0.26564069090000003,0.2524448252
0.29496416340000003,nan,0.29496416340000003,0.2944533367,0.2662734768,nan,0.2662734768,0.2639720835
0.296375922,nan,0.296375922,0.29509925375,0.2810720861,nan,0.2810720861,0.2609803128
0.2970910128,nan,0.2970910128,0.29404459980000003,0.2603514659,nan,0.2603514659,0.2657846826
0.2989353221,nan,0.2989353221,0.29738199460000003,0.2702743879,nan,0.2702743879,0.25916756275
0.29898470320000003,nan,0.29898470320000003,0.2940980327,0.2662734768,nan,0.2662734768,0.2565124556
0.2983329944,nan,0.2983329944,0.2957116512,0.2662734768,0.0,0.2662734768,0.24980030144999998
0.2962891593,nan,0.2962891593,0.2960551777,0.2662734768,nan,0.2662734768,0.25540152130000005
0.2962891593,0.2896900821,0.2962891593,0.29275238525,0.2662734768,nan,0.2662734768,0.25807092675
0.2979326963,0.2896900821,0.2979326963,0.29685714265,0.2662734768,nan,0.2662734768,0.25820475805
