MSR-OR_SUB,MSR-XOR_SUB,MSR-PossOR_SUB,MSR-PossXOR_SUB
0.2757290418,0.2757290418,0.2465872687,0.2462959533
0.2642700918,0.2642700918,0.24417548050000001,0.2440183092
0.2798225461,0.2798225461,0.2452538985,0.2462790712
0.2767563639,0.2767563639,0.2432710777,0.2432349321
0.2669948276,0.2669948276,0.2462046313,0.2462267089
0.2673356805,0.2673356805,0.2426591055,0.2427849342
0.26490529960000003,0.26490529960000003,0.2453656542,0.2452207999
0.274705863,0.27472313670000004,0.2414668203,0.24157553450000002
0.2658458172,0.2658458172,0.24626386050000001,0.2461427813
0.2654690174,0.2661744553,0.2517701603,0.2510219338
0.2683930249,0.2683468855,0.2433746262,0.2434452115
0.2776865948,0.2776865948,0.2450603886,0.24384739190000002
0.2704248884,0.2704248884,0.2414404275,0.24132228160000002
0.2704690218,0.2704690218,0.2460724145,0.24584307360000002
0.2629153919,0.2629153919,0.24585657830000002,0.24598465630000002
0.27627896350000003,0.27627896350000003,0.2409118888,0.24036664230000002
0.2606985745,0.2606985745,0.2462283673,0.2460662394
0.2647034186,0.2647034186,0.2481436307,0.2476103523
0.2626912115,0.2624540834,0.2448323161,0.2451262016
0.2752570131,0.2752570131,0.2436041069,0.24382212660000002
0.2732156907,0.2732156907,0.24064479360000002,0.2407316693
0.2791532142,0.2791532142,0.2441446387,0.2435485481
0.2609451796,0.26040356740000004,0.2420126642,0.2425270475
0.2683516453,0.2683516453,0.2479341286,0.2473129755
0.2712323457,0.2712306419,0.2415082027,0.2415203876
0.2671025836,0.2671025836,0.2445092282,0.24550108650000002
0.263496509,0.2634800943,0.249326873,0.2493054401
0.2815436637,0.2815436637,0.2402526083,0.24029443
0.2722102779,0.2721723797,0.24075750710000002,0.2402893375
0.2778572635,0.2778572635,0.2411931763,0.2416172134
0.2622343622,0.2622656291,0.24624936320000002,0.2462965024
0.2695925613333333,0.2695690167,0.23986418043333335,0.23965345153333337
0.2770233864,0.2770233864,0.24287425623333334,0.24338841923333335
0.2681876382333333,0.2681876382333333,0.2395393179666667,0.2399332139666667
0.2716892385,0.2713795597,0.2394073065,0.240769433
0.27176268020000005,0.27186521890000004,0.24176392235,0.2414494634
0.27021048895,0.27048085155,0.24128767245000002,0.24189750325
0.2700395747666667,0.2702738376,0.24118351289999998,0.2408988373333333
0.26642248100000004,0.2669043312,0.2387417118,0.23837793610000002
0.2690983496,0.26923096315,0.24073216760000002,0.24056182190000003
0.2696790814666667,0.2696087079,0.24143970146666668,0.24135851326666669
0.27140107715,0.27122401175,0.24131455670000002,0.24157840090000002
0.26752501740000006,0.2674327571333333,0.24089452476666665,0.24120531756666666
0.2691725067333333,0.26922452876666664,0.23844024473333333,0.23860772983333334
0.27127081503333333,0.27114592200000004,0.23926311636666667,0.23954692073333336
0.2761349321666667,0.27606252076666665,0.24320829263333332,0.2432077849333333
0.2742619641333333,0.27426889453333336,0.24084431466666667,0.2408387271
0.26755081183333335,0.2674861450666666,0.24034511993333332,0.24035853196666668
0.26755081183333335,0.2674861450666666,0.24148767070000002,0.2408522988666667
0.27014875256666665,0.26965551016666667,0.23987675856666668,0.23999911183333333
0.28159103716666667,0.28162250836666664,0.24081189233333333,0.24122349166666668
0.28048937593333334,0.2805201038,0.24073970513333334,0.24087782376666667
0.2793026501,0.27920596636666667,0.24200710763333336,0.2426270421
0.27266128636666664,0.27255232143333336,0.2416711144,0.24190629100000002
0.2798105559333333,0.27961892753333334,0.23959478473333337,0.24002715196666666
0.2707119182666667,0.2706650094,0.2413381569666667,0.2413790223
0.2745900009666667,0.2747534899333333,0.2446446449,0.2446395039
0.2735160328666667,0.27357741536666663,0.24150819283333333,0.24132187810000003
0.2765529636,0.2767167927666667,0.2418427731666667,0.24195868936666667
0.2714232899666667,0.2714232899666667,0.24557703453333332,0.24557703453333332
0.2584732510666667,0.2584648568666667,0.24357443916666668,0.24341741150000004
0.2587812283,0.2583295734,0.2401846242,0.2403228479
0.26264340115,0.26258442375,0.24137720055,0.2421185029
0.25877619105000005,0.258522537,0.2459158373,0.24568667935
0.26418554376666664,0.2643001880333333,0.24446159739999998,0.24509682243333333
0.2593641527,0.2591870847,0.23915931040000002,0.2400310941
0.25949737375000004,0.25920994340000003,0.24285736745,0.2428220833
0.2628331453666667,0.2625462165333334,0.24356846210000002,0.243981914
0.25893988560000003,0.25908623610000003,0.24445791690000002,0.24492020260000003
0.26147911916666666,0.2616118997666667,0.24365725693333337,0.2439956692666667
0.27006223490000003,0.2698344526333334,0.23981180893333334,0.23990377186666667
0.27652971303333335,0.27651797293333336,0.2388128317,0.23946338749999999
0.26762421566666666,0.26759878203333337,0.24721347070000002,0.24752492283333336
0.2630711868,0.2627502124666667,0.2445128029,0.24475350176666666
0.2649468442,0.26455644493333336,0.2426031054,0.24246076163333333
