Nspike_CA1,OHK_CA1,Nspike_SUB,OHK_SUB,Nspike_posCA1,OHK_posCA1,Nspike_posSUB,OHK_posSUB
745.5,0.3775696402,2556.0,0.2942187411,745.5,0.22438776675,2556.0,0.2163790657
850.0,0.36357306345,2557.0,0.23977258740000001,850.0,0.2311632982,2557.0,0.1914092898
548.5,0.41231615465000004,5866.0,0.22812684090000002,548.5,0.25391004715,5866.0,0.1737373852
834.0,0.3467512733,3394.0,0.2503860833,834.0,0.2295297577,3394.0,0.1928088211
122.5,0.36633371465,4005.0,0.23158399915,122.5,0.35077485760000005,4005.0,0.17498539725
895.0,0.39099260254,3666.0,0.2029857746,895.0,0.23033210200000004,3666.0,0.195979371
407.0,0.4183508201,3924.0,0.34953051160000004,407.0,0.24058610955,3924.0,0.1900029078
678.0,0.37778021100000003,9478.0,0.2563537703,678.0,0.21848880105000001,9478.0,0.17208950550000002
1890.0,0.368510123875,6342.0,0.27755843150000004,1890.0,0.20540972405,6342.0,0.1838217271
629.6666666666666,0.37890105553333336,3528.0,0.2053814987,629.6666666666666,0.23531830163333334,3528.0,0.181948313
676.5,0.40188291605000004,1532.0,0.22891704810000002,676.5,0.21302316005,1532.0,0.1922882639
8360.0,0.18633916805,8983.333333333334,0.24774143933333334,8360.0,0.17463154575,8983.333333333334,0.15941851283333333
996.3333333333334,0.3771705181,4145.333333333333,0.19677194803333334,996.3333333333334,0.2200857013666667,4145.333333333333,0.17251503403333335
721.0,0.374804295,304.6666666666667,0.3657692164,721.0,0.23046845130000002,304.6666666666667,0.2550373116
1110.0,0.3915981088,4146.0,0.19681242033333335,1110.0,0.2198607296,4146.0,0.17903801789999998
2144.0,0.2972930385,4702.6,0.19560004116000002,2144.0,0.2073721918,4702.6,0.17809766426
1484.0,0.3695803267,9438.5,0.2347197217,1484.0,0.1936222917,9438.5,0.16529153265000002
809.0,0.3229960879,10966.0,0.2144914632,809.0,0.2415047484,10966.0,0.1624343928
512.0,0.40097389720000004,3828.0,0.200802001,512.0,0.23191929800000002,3828.0,0.1781170296
2044.0,0.3364511133,5559.411764705882,0.24213341750588235,2044.0,0.2068485006,5559.411764705882,0.1778135588
412.0,0.40523842220000006,5924.0,0.2326290752,412.0,0.23735582830000002,5924.0,0.17808570730000003
232.0,0.3520630766,20888.0,0.16166685940000003,232.0,0.26831407385,20888.0,0.1630859403
918.5,0.386307478225,4136.6,0.20761192918,918.5,0.207697790775,4136.6,0.17944427274000002
589.0,0.38304058944999997,4988.909090909091,0.22953118060909095,589.0,0.23779195075,4988.909090909091,0.1777785057818182
303.0,0.35712776700000004,10840.5,0.2688407547,303.0,0.2788025359,10840.5,0.18106388765
7442.0,0.2314531001,5516.333333333333,0.2554837248333333,7442.0,0.17291145140000003,5516.333333333333,0.1757665335666667
283.5,0.39576740465000004,5479.75,0.243129051675,283.5,0.26517946095,5479.75,0.17938608425000002
2053.5,0.20284725920000002,5034.0,0.2632168072666667,2053.5,0.20039668430000002,5034.0,0.17781721875
684.0,0.3713375054,6667.2,0.20283817412,684.0,0.23774556200000002,6667.2,0.17269127638
508.0,0.40830971930000004,5108.25,0.20486366750833337,508.0,0.2557892465,5108.25,0.17906898130833335
317.0,0.3640393751,9048.0,0.1989523976,317.0,0.2770494095,9048.0,0.16414829745
624.0,0.4152900118,7407.0,0.18309742610000002,624.0,0.2095578873,7407.0,0.16680507760000002
500.0,0.4162813891,5225.190476190476,0.20552769238571433,500.0,0.27517006520000004,5225.190476190476,0.17551648068095238
937.0,0.3231814939,7739.0,0.2316876317,937.0,0.20646193840000002,7739.0,0.1768778848
782.0,0.3461783189,3579.5454545454545,0.22014625380909092,782.0,0.20306945040000002,3579.5454545454545,0.19083836632727272
1282.0,0.3450457934,5781.666666666667,0.23380574776666666,1282.0,0.2416586055,5781.666666666667,0.17294892196666667
865.0,0.38530720690000003,2901.9523809523807,0.20964556769523812,865.0,0.2340984576,2901.9523809523807,0.18868374675714286
186.0,0.3842130192,3277.75,0.21103665102,186.0,0.232796845,3277.75,0.18289876625999998
434.0,0.3913584913,15251.0,0.1747140392588235,434.0,0.26458256305,15251.0,0.15531770852352944
428.0,0.3960609064,6649.25,0.264274655325,428.0,0.2306027944,6649.25,0.16818699255
1458.5,0.34155970350000003,12107.0,0.23967943746666667,1458.5,0.20777832375,12107.0,0.15583905826666666
1846.6666666666667,0.32693747506666665,1667.0,0.239264932,1846.6666666666667,0.19030738050000004,1667.0,0.21679155300000003
4832.0,0.1617447868,1998.6363636363637,0.2527265788454546,4832.0,0.1709275083,1998.6363636363637,0.19975788173636363
4559.0,0.22731839080000002,7636.375,0.17015432762500002,4559.0,0.1881871783,7636.375,0.167423897225
936.0,0.3558587002,5165.25,0.21393804990000004,936.0,0.2462607912,5165.25,0.17101381605
384.0,0.3684979333,10277.0,0.2993928275,384.0,0.29049898725,10277.0,0.16461820833333335
189.5,0.39052902380000004,2520.3333333333335,0.2049040800666667,189.5,0.262367948,2520.3333333333335,0.18719232923333332
124.0,0.3895136818,4464.888888888889,0.20869975814444444,124.0,0.33358028370000004,4464.888888888889,0.18349358851111114
138.0,0.38454296,4201.0,0.2228297473333333,138.0,0.3406713012,4201.0,0.18179095730000003
1728.0,0.41373947525,627.3333333333334,0.35369914110000006,1728.0,0.1978807292,627.3333333333334,0.2551507162
2287.0,0.3379407159,13203.75,0.207389382625,2287.0,0.1994899849,13203.75,0.15592846162500001
1154.0,0.22027012740000002,4464.882352941177,0.2829122888647059,1154.0,0.2149090964,4464.882352941177,0.17710855647058824
