Rmax_OHS,OHS-AND_CA1,Rmax_OHS,OHS-OR_CA1,PossRmax_OHS,OHS-PossAND_CA1,PossRmax_OHS,OHS-PossOR_CA1
0.8241852156,nan,0.8241852156,0.77863292005,0.9004927758,nan,0.9004927758,0.8728539234000001
0.8008536338000001,nan,0.8008536338000001,0.7797026066,0.9077421439000001,nan,0.9077421439000001,0.8786069966000001
0.8196341523,nan,0.8196341523,0.8425285719000001,0.8992174302,nan,0.8992174302,0.8927332891
0.8238747555,nan,0.8238747555,0.8103241872,0.8749903807,nan,0.8749903807,0.87238118925
0.7981153943,nan,0.7981153943,0.7856071387,0.9149505667000001,nan,0.9149505667000001,0.8870371586
0.8008536338000001,nan,0.8008536338000001,0.80504188665,0.9053935073,nan,0.9053935073,0.88405326915
0.801873901,nan,0.801873901,0.7972377101000001,0.8749903807,nan,0.8749903807,0.88361557825
0.8008536338000001,nan,0.8008536338000001,0.8084646364000001,0.8976606822000001,nan,0.8976606822000001,0.90070767095
0.8008536338000001,nan,0.8008536338000001,0.7671073042000001,0.9160007133,nan,0.9160007133,0.8836224173
0.8008536338000001,nan,0.8008536338000001,0.78009820065,0.8860569335,nan,0.8860569335,0.9050451554500001
0.8008536338000001,nan,0.8008536338000001,0.7969479315500001,0.9080171249000001,1.0,0.9080171249000001,0.8920831032000001
0.8241852156,nan,0.8241852156,0.77297663915,0.9077421439000001,nan,0.9077421439000001,0.8919867635000001
0.8196341523,nan,0.8196341523,0.7588025693,0.9004927758,nan,0.9004927758,0.9107756474
0.8241852156,nan,0.8241852156,0.80628680995,0.9004927758,nan,0.9004927758,0.8889238988000001
0.8241852156,nan,0.8241852156,0.7523246854000001,0.9149505667000001,1.0,0.9149505667000001,0.9120978563000001
0.8241852156,nan,0.8241852156,0.7603885475000001,0.9053935073,nan,0.9053935073,0.89089589935
0.8241852156,nan,0.8241852156,0.7772636605500001,0.9004927758,0.5793801643000001,0.9004927758,0.9093283091000001
0.8241852156,nan,0.8241852156,0.8158247343,0.9004927758,nan,0.9004927758,0.9031917243
0.8241852156,nan,0.8241852156,0.7759315289,0.9160007133,nan,0.9160007133,0.8925903113
0.8241852156,nan,0.8241852156,0.7901745474,0.9004927758,nan,0.9004927758,0.87585071955
0.8241852156,nan,0.8241852156,0.7786613413000001,0.9080171249000001,nan,0.9080171249000001,0.88863313665
0.8196341523,nan,0.8196341523,0.7957049929000001,0.9077421439000001,nan,0.9077421439000001,0.8802354689
0.8238747555,nan,0.8238747555,0.7833170504,0.9077421439000001,nan,0.9077421439000001,0.87832943625
0.7981153943,nan,0.7981153943,0.7390179262000001,0.9149505667000001,nan,0.9149505667000001,0.8656053549
0.7767742609,nan,0.7767742609,0.79661659035,0.9077421439000001,nan,0.9077421439000001,0.9014232867
0.801873901,nan,0.801873901,0.7592032593,0.9077421439000001,nan,0.9077421439000001,0.9049495863
0.7978191636,nan,0.7978191636,0.79519778625,0.9077421439000001,1.0,0.9077421439000001,0.9000273699000001
0.7767742609,nan,0.7767742609,0.7546820934,0.9160007133,nan,0.9160007133,0.8998369245
0.7767742609,0.5793801643000001,0.7767742609,0.7626222193500001,0.9077421439000001,nan,0.9077421439000001,0.90325321945
0.7767742609,0.5793801643000001,0.7767742609,0.75185631515,0.9080171249000001,nan,0.9080171249000001,0.9150786175000001
0.8196341523,nan,0.8196341523,0.8158163054,0.8992174302,nan,0.8992174302,0.8786783891000001
0.8196341523,nan,0.8196341523,0.7915809811000001,0.8992174302,nan,0.8992174302,0.9018458297
0.8196341523,nan,0.8196341523,0.8290815062,0.8992174302,nan,0.8992174302,0.8890223102
0.8196341523,nan,0.8196341523,0.8076127567,0.8992174302,nan,0.8992174302,0.8999023638
0.8196341523,nan,0.8196341523,0.7994921184,0.8992174302,nan,0.8992174302,0.9137566549
0.8196341523,0.5793801643000001,0.8196341523,0.7949875957,0.8992174302,1.0,0.8992174302,0.8978208633
0.8196341523,nan,0.8196341523,0.781314952,0.9080171249000001,nan,0.9080171249000001,0.8915142837000001
0.8238747555,nan,0.8238747555,0.8181876634,0.9149505667000001,nan,0.9149505667000001,0.8856824775000001
0.8238747555,nan,0.8238747555,0.7988502537,0.9053935073,nan,0.9053935073,0.870241592
0.8238747555,nan,0.8238747555,0.81190124985,0.8729614383000001,nan,0.8729614383000001,0.8831819463
0.8238747555,nan,0.8238747555,0.81025250185,0.8976606822000001,nan,0.8976606822000001,0.9126962112000001
0.8238747555,nan,0.8238747555,0.8115657771,0.9160007133,nan,0.9160007133,0.86423086055
0.8238747555,1.0,0.8238747555,0.76968036295,0.8860569335,nan,0.8860569335,0.88764762505
0.8238747555,nan,0.8238747555,0.73859001755,0.9080171249000001,nan,0.9080171249000001,0.864514412
0.7981153943,nan,0.7981153943,0.7969767899,0.9149505667000001,nan,0.9149505667000001,0.9072246536
0.7981153943,nan,0.7981153943,0.7328865145,0.9149505667000001,nan,0.9149505667000001,0.8872526893
0.7981153943,nan,0.7981153943,0.7828553598666668,0.9149505667000001,0.5793801643000001,0.9149505667000001,0.9088709235
0.7857199436000001,nan,0.7857199436000001,0.7601621438333334,0.9099538883,nan,0.9099538883,0.8853929064666667
0.7754760363000001,nan,0.7754760363000001,0.7644754276500001,0.9099538883,nan,0.9099538883,0.8875033241500001
0.9070559181000001,nan,0.9070559181000001,0.88828413045,0.9302642288,0.82511012555,0.9302642288,0.9161896617
