Nspike_CA1,max_HSHK_CA1,Nspike_SUB,max_HSHK_SUB,Nspike_posCA1,max_HSHK_posCA1,Nspike_posSUB,max_HSHK_posSUB
745.5,1.17018615895,2556.0,1.1198957735,745.5,1.12083091485,2556.0,1.0977069522
850.0,1.1570065609000002,2557.0,1.1081638508,850.0,1.11577414685,2557.0,1.0965017022
548.5,1.16343135605,5866.0,1.0955324961,548.5,1.1267924763,5866.0,1.0857563739
834.0,1.1663854256,3394.0,1.1024904148,834.0,1.1186037473,3394.0,1.0908319513
122.5,1.1864740507,4005.0,1.09974973375,122.5,1.1623371335500001,4005.0,1.0918033402
895.0,1.16564267524,3666.0,1.0966487045,895.0,1.1145053255200001,3666.0,1.0923043102
407.0,1.1746937697500002,3924.0,1.1301489405,407.0,1.12539949345,3924.0,1.0905828295
678.0,1.1669352532500001,9478.0,1.1024248341,678.0,1.11453433365,9478.0,1.0837950041
1890.0,1.1546896074,6342.0,1.1154658566,1890.0,1.102246763275,6342.0,1.0867799967
629.6666666666666,1.1590171345666667,3528.0,1.099843909,629.6666666666666,1.1226892453333335,3528.0,1.0945023744
676.5,1.1665244752500001,1532.0,1.1061929707,676.5,1.1181242224,1532.0,1.1005418362
8360.0,1.0878836085499999,8983.333333333334,1.0956389249333334,8360.0,1.08486868965,8983.333333333334,1.0829633595666666
996.3333333333334,1.1685138218,4145.333333333333,1.0963817688,996.3333333333334,1.1123904135666667,4145.333333333333,1.0919334121333335
721.0,1.1689482179,304.6666666666667,1.1831133339,721.0,1.113956057,304.6666666666667,1.1366807914666666
1110.0,1.1566786212,4146.0,1.0958938278333334,1110.0,1.1092516938,4146.0,1.0907649710666665
2144.0,1.1370190139,4702.6,1.09304629804,2144.0,1.1052461548,4702.6,1.0901474975599998
1484.0,1.1657226689,9438.5,1.0987879642,1484.0,1.1009661869,9438.5,1.08262592025
809.0,1.1578102917,10966.0,1.0940826573,809.0,1.1105957849,10966.0,1.0811647598
512.0,1.1827593183,3828.0,1.0973086221,512.0,1.123478812,3828.0,1.0895165212
2044.0,1.1581181555,5559.411764705882,1.1002373916058823,2044.0,1.1018231404,5559.411764705882,1.0877237970058822
412.0,1.16097617,5924.0,1.0950210447333333,412.0,1.12497217705,5924.0,1.0876207474000001
232.0,1.16184942655,20888.0,1.07458071405,232.0,1.1361798967999999,20888.0,1.0751115242
918.5,1.16274682355,4136.6,1.0998116368200002,918.5,1.11188362735,4136.6,1.0915195721000002
589.0,1.1622035133500002,4988.909090909091,1.102866338209091,589.0,1.12179736555,4988.909090909091,1.0885233250545454
303.0,1.16073473245,10840.5,1.1185464619499998,303.0,1.1455261518,10840.5,1.092763539
7442.0,1.0965419312,5516.333333333333,1.1057305113666667,7442.0,1.08447857945,5516.333333333333,1.08857705
283.5,1.1629169686,5479.75,1.102659591975,283.5,1.14169760325,5479.75,1.0898504481
2053.5,1.1028543047000001,5034.0,1.1089681661055557,2053.5,1.0966727564,5034.0,1.0885089603222222
684.0,1.1788140522,6667.2,1.09082540972,684.0,1.1190522788,6667.2,1.0867145562
508.0,1.1673140489,5108.25,1.0934514524,508.0,1.1259207029,5108.25,1.0883153288583336
317.0,1.1827019525,9048.0,1.0870350037749998,317.0,1.1250275895,9048.0,1.0826746407
624.0,1.1553563743,7407.0,1.0913281822,624.0,1.1112672652,7407.0,1.0855957282
500.0,1.1639234528,5225.190476190476,1.0917483186761905,500.0,1.1309206924,5225.190476190476,1.0884248641238095
937.0,1.1670463178000001,7739.0,1.0924330629,937.0,1.11099509,7739.0,1.0854635664
782.0,1.1611267245999999,3579.5454545454545,1.1024325776363637,782.0,1.115645174,3579.5454545454545,1.0927457763000001
1282.0,1.1445455806,5781.666666666667,1.1008541421,1282.0,1.1023821436,5781.666666666667,1.0879323591
865.0,1.1535593285,2901.9523809523807,1.0975434529952381,865.0,1.1101056892,2901.9523809523807,1.0958031669571429
186.0,1.1884076698000001,3277.75,1.1002547974599997,186.0,1.1389262926,3277.75,1.094315783935
434.0,1.1709440182500002,15251.0,1.0827466625764706,434.0,1.13259820725,15251.0,1.078069640835294
428.0,1.1745125154,6649.25,1.10457651945,428.0,1.126249374,6649.25,1.085895043775
1458.5,1.13875173415,12107.0,1.0890233685666666,1458.5,1.10512463015,12107.0,1.0803043305666666
1846.6666666666667,1.1380398499333333,1667.0,1.1193703611,1846.6666666666667,1.0999654508,1667.0,1.1006489954
4832.0,1.0800989047,1998.6363636363637,1.1208202094909092,4832.0,1.0908082906,1998.6363636363637,1.1003435459818183
4559.0,1.101857379,7636.375,1.0821883020874998,4559.0,1.0866987056,7636.375,1.0853874565875001
936.0,1.1618277969,5165.25,1.095213184625,936.0,1.1123322254,5165.25,1.0885164879
384.0,1.17014240775,10277.0,1.1116793309,384.0,1.13529145315,10277.0,1.0812979901000002
189.5,1.1802381579999999,2520.3333333333335,1.0990445852333333,189.5,1.1556643488,2520.3333333333335,1.0953812910333331
124.0,1.1982740029,4464.888888888889,1.09818627605,124.0,1.1798153518,4464.888888888889,1.0908000544555556
138.0,1.1761192449,4201.0,1.0962789396666668,138.0,1.1713100415,4201.0,1.0892412838
1728.0,1.1383554627499999,627.3333333333334,1.1641875223333333,1728.0,1.1024481926,627.3333333333334,1.1239767626000001
2287.0,1.1248821917,13203.75,1.0822113237500002,2287.0,1.0989764108,13203.75,1.0794109118250002
1154.0,1.1124622077,4464.882352941177,1.1179162190235292,1154.0,1.1088762921,4464.882352941177,1.0896081540235294
1086.5,1.14626854735,3636.0,1.102104706075,1086.5,1.1055334358,3636.0,1.093926045175
