OHS-OR_CA1,OHS-XOR_CA1,OHS-PossOR_CA1,OHS-PossXOR_CA1
0.77863292005,0.77863292005,0.8728539234000001,0.8728539234000001
0.7797026066,0.7797026066,0.8786069966000001,0.8786069966000001
0.8425285719000001,0.8425285719000001,0.8927332891,0.8927332891
0.8103241872,0.8103241872,0.87238118925,0.8723207513
0.7856071387,0.7856071387,0.8870371586,0.8870371586
0.80504188665,0.80504188665,0.88405326915,0.88405326915
0.7972377101000001,0.7972377101000001,0.88361557825,0.88365559965
0.8084646364000001,0.8084646364000001,0.90070767095,0.9007209758000001
0.7671073042000001,0.7671073042000001,0.8836224173,0.8836224173
0.78009820065,0.78014690905,0.9050451554500001,0.9050451554500001
0.7969479315500001,0.7969479315500001,0.8920831032000001,0.89210053585
0.77297663915,0.77297663915,0.8919867635000001,0.8919867635000001
0.7588025693,0.7588025693,0.9107756474,0.9107756474
0.80628680995,0.80628680995,0.8889238988000001,0.8889238988000001
0.7523246854000001,0.7523246854000001,0.9120978563000001,0.9120930335
0.7603885475000001,0.7603885475000001,0.89089589935,0.89089589935
0.7772636605500001,0.7772636605500001,0.9093283091000001,0.9094790018500001
0.8158247343,0.8158320080500001,0.9031917243,0.9031917243
0.7759315289,0.7759315289,0.8925903113,0.89266058235
0.7901745474,0.7902175585,0.87585071955,0.87585071955
0.7786613413000001,0.7787719258500001,0.88863313665,0.88863313665
0.7957049929000001,0.7957049929000001,0.8802354689,0.8802354689
0.7833170504,0.7833170504,0.87832943625,0.87832943625
0.7390179262000001,0.7390179262000001,0.8656053549,0.8656053549
0.79661659035,0.79661659035,0.9014232867,0.9014232867
0.7592032593,0.7592032593,0.9049495863,0.9050453226
0.79519778625,0.79519778625,0.9000273699000001,0.9001288023
0.7546820934,0.7546820934,0.8998369245,0.8998369245
0.7626222193500001,0.7716256424500001,0.90325321945,0.90333732395
0.75185631515,0.78839134665,0.9150786175000001,0.91511591915
0.8158163054,0.8158163054,0.8786783891000001,0.8786783891000001
0.7915809811000001,0.7915809811000001,0.9018458297,0.9018458297
0.8290815062,0.8290815062,0.8890223102,0.88909004
0.8076127567,0.8076127567,0.8999023638,0.899923439
0.7994921184,0.7994921184,0.9137566549,0.9137566549
