Nspikes,OHS-OR_CA1,Rmax_OHS-OR_CA1,Nspikes,OHS-OR_SUB,Rmax_OHS-OR_SUB,Nspikes,OHS-AND_CA1,Rmax_OHS-AND_CA1,Nspikes,OHS-AND_SUB,Rmax_OHS-AND_SUB,Poss_Nspikes,OHS-PossOR_CA1,Rmax_OHS-PossOR_CA1,Poss_Nspikes,OHS-PossOR_SUB,Rmax_OHS-PossOR_SUB,Poss_Nspikes,OHS-PossAND_CA1,Rmax_OHS-PossAND_CA1,Poss_Nspikes,OHS-PossAND_SUB,Rmax_OHS-PossAND_SUB
0.0,0.77863292005,0.8241852156,0.0,0.8851639646,0.8674056553,0.0,nan,0.8241852156,0.0,nan,0.8674056553,15.0,0.8728539234000001,0.9004927758,15.0,0.9072084778,0.9089389589,15.0,nan,0.9004927758,15.0,0.8506077525,0.9089389589
0.0,0.7797026066,0.8008536338000001,0.0,0.8978950572000001,0.8764781919,0.0,nan,0.8008536338000001,0.0,nan,0.8764781919,4.0,0.8786069966000001,0.9077421439000001,4.0,0.9093374502,0.9248724817,4.0,nan,0.9077421439000001,4.0,0.75,0.9248724817
0.0,0.8425285719000001,0.8196341523,0.0,0.839867761,0.8256770323,0.0,nan,0.8196341523,0.0,nan,0.8256770323,14.0,0.8927332891,0.8992174302,14.0,0.9069615662,0.9185695175,14.0,nan,0.8992174302,14.0,0.8357523477000001,0.9185695175
0.0,0.8103241872,0.8238747555,0.0,0.8713474209000001,0.8379074251,0.0,nan,0.8238747555,0.0,nan,0.8379074251,12.0,0.87238118925,0.8749903807,12.0,0.928691833,0.9113797132,12.0,nan,0.8749903807,12.0,0.7964904909,0.9113797132
0.0,0.7856071387,0.7981153943,0.0,0.89677003,0.8683912635000001,0.0,nan,0.7981153943,0.0,nan,0.8683912635000001,8.0,0.8870371586,0.9149505667000001,8.0,0.9246247455000001,0.9011163781,8.0,nan,0.9149505667000001,8.0,0.7185463541,0.9011163781
0.0,0.80504188665,0.8008536338000001,0.0,0.8881922484,0.8683912635000001,0.0,nan,0.8008536338000001,0.0,nan,0.8683912635000001,7.0,0.88405326915,0.9053935073,7.0,0.919009858,0.9107897608000001,7.0,nan,0.9053935073,7.0,0.6562657891,0.9107897608000001
0.0,0.7972377101000001,0.801873901,0.0,0.9047672699,0.8936629299000001,0.0,nan,0.801873901,0.0,nan,0.8936629299000001,8.0,0.88361557825,0.8749903807,8.0,0.9347232358,0.9010448474,8.0,nan,0.8749903807,8.0,0.7185463541,0.9010448474
1.0,0.8084646364000001,0.8008536338000001,1.0,0.8587005592,0.8683912635000001,1.0,nan,0.8008536338000001,1.0,nan,0.8683912635000001,13.0,0.90070767095,0.8976606822000001,13.0,0.9114570929,0.9188503857,13.0,nan,0.8976606822000001,13.0,0.8180073353,0.9188503857
0.0,0.7671073042000001,0.8008536338000001,0.0,0.8994204793,0.8944624103000001,0.0,nan,0.8008536338000001,0.0,nan,0.8944624103000001,10.0,0.8836224173,0.9160007133,10.0,0.9025644489,0.9005768916,10.0,nan,0.9160007133,10.0,0.7364516253000001,0.9005768916
1.0,0.78009820065,0.8008536338000001,1.0,0.8891141413,0.8772759226,1.0,nan,0.8008536338000001,1.0,nan,0.8772759226,4.0,0.9050451554500001,0.8860569335,4.0,0.8853477217,0.9131386329000001,4.0,nan,0.8860569335,4.0,0.75,0.9131386329000001
1.0,0.7969479315500001,0.8008536338000001,1.0,0.8864091219,0.8764781919,1.0,nan,0.8008536338000001,1.0,nan,0.8764781919,10.0,0.8920831032000001,0.9080171249000001,10.0,0.9143262747,0.9248724817,10.0,1.0,0.9080171249000001,10.0,0.7966576245,0.9248724817
0.0,0.77297663915,0.8241852156,0.0,0.8501506215,0.8674056553,0.0,nan,0.8241852156,0.0,nan,0.8674056553,19.0,0.8919867635000001,0.9077421439000001,19.0,0.9239632316,0.9185695175,19.0,nan,0.9077421439000001,19.0,0.7676280165,0.9185695175
0.0,0.7588025693,0.8196341523,0.0,0.8938220024,0.8674056553,0.0,nan,0.8196341523,0.0,nan,0.8674056553,18.0,0.9107756474,0.9004927758,18.0,0.9262411524,0.9113797132,18.0,nan,0.9004927758,18.0,0.7767760612,0.9113797132
0.0,0.80628680995,0.8241852156,0.0,0.8879745356000001,0.8598532773,0.0,nan,0.8241852156,0.0,nan,0.8598532773,15.0,0.8889238988000001,0.9004927758,15.0,0.9136562133,0.9107897608000001,15.0,nan,0.9004927758,15.0,0.8506077525,0.9107897608000001
0.0,0.7523246854000001,0.8241852156,0.0,0.8985564361,0.8936629299000001,0.0,nan,0.8241852156,0.0,nan,0.8936629299000001,19.0,0.9120978563000001,0.9149505667000001,19.0,0.9084615810000001,0.9011163781,19.0,1.0,0.9149505667000001,19.0,0.7924079021,0.9011163781
0.0,0.7603885475000001,0.8241852156,0.0,0.8517149662,0.8521043315,0.0,nan,0.8241852156,0.0,nan,0.8521043315,25.0,0.89089589935,0.9053935073,25.0,0.9219767887,0.9188503857,25.0,nan,0.9053935073,25.0,0.8664060697,0.9188503857
