Nspikes,MSR-OR_CA1,Rmax_MSR-OR_CA1,Nspikes,MSR-OR_SUB,Rmax_MSR-OR_SUB,Nspikes,MSR-AND_CA1,Rmax_MSR-AND_CA1,Nspikes,MSR-AND_SUB,Rmax_MSR-AND_SUB,Poss_Nspikes,MSR-PossOR_CA1,Rmax_MSR-PossOR_CA1,Poss_Nspikes,MSR-PossOR_SUB,Rmax_MSR-PossOR_SUB,Poss_Nspikes,MSR-PossAND_CA1,Rmax_MSR-PossAND_CA1,Poss_Nspikes,MSR-PossAND_SUB,Rmax_MSR-PossAND_SUB
0.0,0.2943255953,0.295778557125,0.0,0.2757290418,0.27983955875,0.0,0.0,0.295778557125,0.0,0.0,0.27983955875,15.0,0.25629387165,0.2609374721,15.0,0.2465872687,0.24851381765,15.0,0.0,0.2609374721,15.0,0.2912651404,0.24851381765
0.0,0.2958689444,0.29640082347499996,0.0,0.2642700918,0.27804056615,0.0,0.0,0.29640082347499996,0.0,0.0,0.27804056615,4.0,0.2554350718,0.262870326925,4.0,0.24417548050000001,0.25026623095,4.0,0.0,0.262870326925,4.0,0.2264097656,0.25026623095
0.0,0.29414679200000005,0.29674925790000006,0.0,0.2798225461,0.2856715218,0.0,0.0,0.29674925790000006,0.0,0.0,0.2856715218,14.0,0.24861398710000002,0.26082650144999997,14.0,0.2452538985,0.24911210475,14.0,0.0,0.26082650144999997,14.0,0.2570867128,0.24911210475
0.0,0.29688407024999997,0.296135121025,0.0,0.2767563639,0.28433930220000003,0.0,0.0,0.296135121025,0.0,0.0,0.28433930220000003,12.0,0.26160233495,0.269920200225,12.0,0.2432710777,0.2476166656,12.0,0.0,0.269920200225,12.0,0.2788408276,0.2476166656
0.0,0.29514703600000003,0.29707178195,0.0,0.2669948276,0.27302492975000003,0.0,0.0,0.29707178195,0.0,0.0,0.27302492975000003,8.0,0.2600175616,0.25759094245,8.0,0.2462046313,0.24782583435,8.0,0.0,0.25759094245,8.0,0.23252245300000002,0.24782583435
0.0,0.2966707877,0.29746327110000004,0.0,0.2673356805,0.27334570545000003,0.0,0.0,0.29746327110000004,0.0,0.0,0.27334570545000003,7.0,0.25636182085000003,0.265401255075,7.0,0.2426591055,0.2493093709,7.0,0.0,0.265401255075,7.0,0.27405881200000004,0.2493093709
0.0,0.2934222609,0.29695583194999997,0.0,0.26490529960000003,0.272256917,0.0,0.0,0.29695583194999997,0.0,0.0,0.272256917,8.0,0.2575468744,0.261541744675,8.0,0.2453656542,0.24901354295,8.0,0.0,0.261541744675,8.0,0.2646587205,0.24901354295
1.0,0.29501003335,0.29766391389999997,1.0,0.274705863,0.2771476316,1.0,0.0,0.29766391389999997,1.0,0.0,0.2771476316,13.0,0.2532986193,0.257181713675,13.0,0.2414668203,0.2458279033,13.0,0.0,0.257181713675,13.0,0.2876791969,0.2458279033
0.0,0.29601349025,0.2957335651,0.0,0.2658458172,0.27224135665,0.0,0.0,0.2957335651,0.0,0.0,0.27224135665,10.0,0.2527328149,0.25947841442499997,10.0,0.24626386050000001,0.2476352274,10.0,0.0,0.25947841442499997,10.0,0.28801912220000003,0.2476352274
1.0,0.29459904589999997,0.296464564025,1.0,0.2654690174,0.2683081863,1.0,0.0,0.296464564025,1.0,0.0,0.2683081863,4.0,0.25287110595,0.25946930720000005,4.0,0.2517701603,0.25120241525000003,4.0,0.0,0.25946930720000005,4.0,0.2264097656,0.25120241525000003
1.0,0.2957481095,0.2974935059,1.0,0.2683930249,0.2749103343,1.0,0.0,0.2974935059,1.0,0.0,0.2749103343,10.0,0.2545351354,0.26015418255,10.0,0.2433746262,0.24707386750000002,10.0,0.0,0.26015418255,10.0,0.2673975615,0.24707386750000002
0.0,0.29469031385,0.29438592885000003,0.0,0.2776865948,0.28254128995,0.0,0.0,0.29438592885000003,0.0,0.0,0.28254128995,19.0,0.25506781065,0.26137961652499997,19.0,0.2450603886,0.2459197413,19.0,0.0,0.26137961652499997,19.0,0.2932877037,0.2459197413
0.0,0.2933868505,0.2947754322,0.0,0.2704248884,0.28120907035,0.0,0.0,0.2947754322,0.0,0.0,0.28120907035,18.0,0.2464154351,0.25438950555,18.0,0.2414404275,0.24442430215,18.0,0.0,0.25438950555,18.0,0.2938921498,0.24442430215
0.0,0.29565278545000007,0.2941202264,0.0,0.2704690218,0.2718606263,0.0,0.0,0.2941202264,0.0,0.0,0.2718606263,15.0,0.25943798145,0.26842948982500003,15.0,0.2460724145,0.24809427415000002,15.0,0.0,0.26842948982500003,15.0,0.26592064860000003,0.24809427415000002
0.0,0.2935250105,0.2950158184,0.0,0.2629153919,0.27077183785000003,0.0,0.0,0.2950158184,0.0,0.0,0.27077183785000003,19.0,0.2503742652,0.26104651755,19.0,0.24585657830000002,0.24779844620000002,19.0,0.0,0.26104651755,19.0,0.3018878137,0.24779844620000002
0.0,0.29482955355,0.295448376475,0.0,0.27627896350000003,0.27566255245000004,0.0,0.0,0.295448376475,0.0,0.0,0.27566255245000004,25.0,0.25800289735000004,0.263910544675,25.0,0.2409118888,0.24461280655,25.0,0.0,0.263910544675,25.0,0.2792359453,0.24461280655
