Rmax_OHK,OHK-AND_SUB,Rmax_OHK,OHK-OR_SUB,PossRmax_OHK,OHK-PossAND_SUB,PossRmax_OHK,OHK-PossOR_SUB
0.261172791,0.0,0.261172791,0.209180777,0.18986624410000003,0.3728194395,0.18986624410000003,0.1768337113
0.2607306716,0.0,0.2607306716,0.19342857130000002,0.18160116415,0.5,0.18160116415,0.17767307810000002
0.32187462635,0.0,0.32187462635,0.27267084070000003,0.18419283035,0.39203439100000004,0.18419283035,0.1792779787
0.2858885863,0.0,0.2858885863,0.2292502381,0.18599126505000002,0.43364056640000004,0.18599126505000002,0.1526676828
0.24507933535,0.0,0.24507933535,0.1954691664,0.19465948640000003,0.5204260415,0.19465948640000003,0.1619052715
0.23784899180000002,0.0,0.23784899180000002,0.20404522160000002,0.18851197445,0.5544923071,0.18851197445,0.166209441
0.221379181,0.0,0.221379181,0.1827054467,0.1938377355,0.5204260415,0.1938377355,0.151610473
0.24806317885,0.0,0.24806317885,0.23736418410000001,0.1795953602,0.4124469053,0.1795953602,0.1673706465
0.22257704305,0.0,0.22257704305,0.1909992478,0.196575084,0.4729032506,0.196575084,0.18534289410000002
0.23434481775000002,0.0,0.23434481775000002,0.20838006280000002,0.19225255005000003,0.5,0.19225255005000003,0.2070838927
0.22768472150000002,0.0,0.22768472150000002,0.20097541060000002,0.17248226315,0.4471726223,0.17248226315,0.1689049716
0.28882867625,0.0,0.28882867625,0.24672921600000003,0.17507392935,0.4576372228,0.17507392935,0.15896871270000001
0.2528426362,0.0,0.2528426362,0.1980115698,0.17687236405,0.46166934870000004,0.17687236405,0.15345054090000002
0.24315573975,0.0,0.24315573975,0.20309233670000001,0.18685057275,0.3728194395,0.18685057275,0.1712285533
0.22668592895,0.0,0.22668592895,0.1864312952,0.19217633380000002,0.44548950340000004,0.19217633380000002,0.1745611862
0.25336992680000003,0.0,0.25336992680000003,0.2465397044,0.17793395850000002,0.3184520527,0.17793395850000002,0.1564271498
0.227883791,0.0,0.227883791,0.1770172559,0.1949136823,0.3728194395,0.1949136823,0.1738702918
0.2396515657,0.0,0.2396515657,0.1931439342,0.19059114835000002,0.4181656601,0.19059114835000002,0.1842850503
0.2194555854,0.0,0.2194555854,0.1752000334,0.18602882185000003,0.3728194395,0.18602882185000003,0.1525053697
0.28838655685000003,0.0,0.28838655685000003,0.2268339455,0.16680884940000001,0.4781076858,0.16680884940000001,0.1598762342
0.24613958325000002,0.0,0.24613958325000002,0.22517366130000002,0.17178644655000003,0.3554970094,0.17178644655000003,0.1527204345
0.25240051680000003,0.0,0.25240051680000003,0.24311532090000001,0.1686072841,0.2701528818,0.1686072841,0.1620172714
0.22065344744999998,0.39203439100000004,0.22065344744999998,0.1786138214,0.18876617035,0.38954970910000003,0.18876617035,0.1667456736
0.23242122215,0.0,0.23242122215,0.2192848563,0.1844436364,0.5,0.1844436364,0.1841164652
0.22966977245,0.0,0.22966977245,0.21039919,0.17711220760000002,0.4222652311,0.17711220760000002,0.1515972898
0.20418363665,0.0,0.20418363665,0.18338607410000002,0.19409193140000003,0.3728194395,0.19409193140000003,0.1697145425
0.21595141135,0.0,0.21595141135,0.19861229760000002,0.18976939745000002,0.3552453213,0.18976939745000002,0.1877417433
0.31354447155000004,0.0,0.31354447155000004,0.2515844673,0.17119895029999999,0.4005693964,0.17119895029999999,0.15026999130000002
0.2308676345,0.0,0.2308676345,0.20514211710000002,0.17984955610000003,0.2956478547,0.17984955610000003,0.1512484693
0.2426354092,0.0,0.2426354092,0.2534048778,0.17552702215000002,0.4471726223,0.17552702215000002,0.1597127852
0.2171492734,0.0,0.2171492734,0.21843566050000002,0.19250674595,0.3552453213,0.19250674595,0.1650556334
