Nspike_CA1,dt_OHK_CA1,Nspike_SUB,dt_OHK_SUB,Nspike_posCA1,dt_OHK_posCA1,Nspike_posSUB,dt_OHK_posSUB
745.5,0.6129093519,2556.0,1.1678993906,745.5,2.1487322451,2556.0,0.8705381588000001
850.0,0.96104537095,2557.0,0.8208509189000001,850.0,2.1056697048500004,2557.0,0.6881668008
548.5,0.63845917025,5866.0,0.38234769700000004,548.5,3.6753747075,5866.0,0.3205441882
834.0,0.8705381588000001,3394.0,0.8208509189000001,834.0,1.9820615944000002,3394.0,0.5769300306
122.5,7.0624328717500005,4005.0,0.57792665335,122.5,20.45119826305,4005.0,0.37143616975000004
895.0,0.50558867738,3666.0,0.4836738125,895.0,2.40611550022,3666.0,0.5440009045
407.0,1.7714227859,3924.0,1.0383849479,407.0,3.6880728227499997,3924.0,0.4560674216
678.0,1.1345696068,9478.0,0.3022486594,678.0,2.291160042,9478.0,0.2003086557
1890.0,0.6699089736750001,6342.0,0.5129512564,1890.0,1.03897314635,6342.0,0.28499737470000003
629.6666666666666,1.2592852112666668,3528.0,0.4836738125,629.6666666666666,3.213516078833333,3528.0,0.4560674216
676.5,1.4526473152000001,1532.0,1.3930798271,676.5,1.9502041769999998,1532.0,0.9791176068
8360.0,0.26931001435,8983.333333333334,0.39343210936666667,8360.0,0.23693656030000002,8983.333333333334,0.17734445436666668
996.3333333333334,0.34033866713333333,4145.333333333333,0.4397340831666667,996.3333333333334,1.9059161653666667,4145.333333333333,0.35851957433333337
721.0,0.5769300306,304.6666666666667,5.644892241366667,721.0,2.3642190805,304.6666666666667,5.8143896124
1110.0,1.0383849479,4146.0,0.44069631036666673,1110.0,1.5668342308,4146.0,0.40198956006666675
2144.0,0.5129512564,4702.6,0.49471099458,2144.0,0.8208509189000001,4702.6,0.41284325332
1484.0,0.9791176068,9438.5,0.36104814535,1484.0,0.9791176068,9438.5,0.20074044555
809.0,0.4560674216,10966.0,0.2389297826,809.0,2.5073285269,10966.0,0.1583454618
512.0,0.9791176068,3828.0,0.4836738125,512.0,2.5073285269,3828.0,0.43003670580000003
2044.0,0.4836738125,5559.411764705882,0.5465242516647059,2044.0,0.8705381588000001,5559.411764705882,0.3358817596294118
412.0,0.22685059400000002,5924.0,0.47670167730000007,412.0,5.24328471895,5924.0,0.3165998543333333
232.0,0.11733198795000001,20888.0,0.10325328790000002,232.0,6.84483959705,20888.0,0.10300302635
918.5,0.7543927202,4136.6,0.51506000758,918.5,1.6089078134,4136.6,0.45548587658000006
589.0,0.33138665095,4988.909090909091,0.5001703869272728,589.0,3.6524747830999997,4988.909090909091,0.36251486621818185
303.0,0.11206181045,10840.5,0.9784548885500001,303.0,8.99138301655,10840.5,0.6632856019
7442.0,0.39897431555000007,5516.333333333333,0.5256661189,7442.0,0.248715495,5516.333333333333,0.2978917592333334
283.5,2.9529419586500003,5479.75,0.5058497706,283.5,6.5738904828499996,5479.75,0.330845984125
2053.5,0.7860608546000001,5034.0,0.6172767841555555,2053.5,0.9248278828000001,5034.0,0.35894309980000005
684.0,0.40549173120000004,6667.2,0.36223462392,684.0,2.5073285269,6667.2,0.27667416136
508.0,0.8208509189000001,5108.25,0.47900290224166664,508.0,4.0123557543,5108.25,0.38610887027499996
317.0,1.5668342308,9048.0,0.27548207720000006,317.0,5.7087440997000005,9048.0,0.19762395245000003
624.0,1.1678993906,7407.0,0.2252925154,624.0,2.5073285269,7407.0,0.21243361530000002
500.0,0.43003670580000003,5225.190476190476,0.4388133448571428,500.0,4.7859703549,5225.190476190476,0.3352837138857143
937.0,0.9232330360000001,7739.0,0.40549173120000004,937.0,1.3930798271,7739.0,0.2389297826
782.0,0.8208509189000001,3579.5454545454545,0.6258305957545454,782.0,1.5668342308,3579.5454545454545,0.5972135224
1282.0,0.8208509189000001,5781.666666666667,0.6450037838,1282.0,1.9820615944000002,5781.666666666667,0.3486564728666666
865.0,1.1678993906,2901.9523809523807,0.7318426464428571,865.0,2.2292778153,2901.9523809523807,0.5835375024333334
186.0,1.5668342308,3277.75,0.6672365049150001,186.0,5.3829091725,3277.75,0.52927920593
434.0,0.9248278828000001,15251.0,0.12977291292941176,434.0,5.3247585201500005,15251.0,0.11608724963529413
428.0,1.2385939538,6649.25,0.497053161525,428.0,2.9907617207,6649.25,0.244174975725
1458.5,0.86327587435,12107.0,0.2769446927666667,1458.5,1.2450336334,12107.0,0.13160361566666667
1846.6666666666667,1.5442483891,1667.0,1.101239823,1846.6666666666667,0.8162857329666666,1667.0,1.2385939538
4832.0,0.3022486594,1998.6363636363637,1.0152305576454546,4832.0,0.3022486594,1998.6363636363637,0.8775445457909092
4559.0,0.4836738125,7636.375,0.2312546086875,4559.0,0.43003670580000003,7636.375,0.220087064525
936.0,1.0383849479,5165.25,0.4481599153,936.0,2.3642190805,5165.25,0.30971543005
384.0,0.5164987261,10277.0,0.42985428873333337,384.0,6.4593849435,10277.0,0.18107054806666667
189.5,0.8140031400000001,2520.3333333333335,0.7331873599666667,189.5,6.84483959705,2520.3333333333335,0.6528466559333334
124.0,0.4836738125,4464.888888888889,0.4792764980555556,124.0,14.6189761419,4464.888888888889,0.46009289854444446
138.0,2.6591005858,4201.0,0.5936554624666667,138.0,12.9978017819,4201.0,0.45287067310000007
1728.0,1.765304699,627.3333333333334,3.035051998433333,1728.0,0.9296179334000001,627.3333333333334,3.163838652366666
2287.0,0.773999651,13203.75,0.17274011535,2287.0,0.773999651,13203.75,0.12616052337500003
