MSR-OR_CA1,MSR-XOR_CA1,MSR-PossOR_CA1,MSR-PossXOR_CA1
0.2943255953,0.2943255953,0.25629387165,0.25629387165
0.2958689444,0.2958689444,0.2554350718,0.2554350718
0.29414679200000005,0.29414679200000005,0.24861398710000002,0.24861398710000002
0.29688407024999997,0.29688407024999997,0.26160233495,0.26157377449999997
0.29514703600000003,0.29514703600000003,0.2600175616,0.2600175616
0.2966707877,0.2966707877,0.25636182085000003,0.25636182085000003
0.2934222609,0.2934222609,0.2575468744,0.25825844245
0.29501003335,0.29501003335,0.2532986193,0.2533608694
0.29601349025,0.29601349025,0.2527328149,0.2527328149
0.29459904589999997,0.2948173837,0.25287110595,0.25287110595
0.2957481095,0.2957481095,0.2545351354,0.2543432673
0.29469031385,0.29469031385,0.25506781065,0.25506781065
0.2933868505,0.2933868505,0.2464154351,0.2464154351
0.29565278545000007,0.29565278545000007,0.25943798145,0.25943798145
0.2935250105,0.2935250105,0.2503742652,0.250186136
0.29482955355,0.29482955355,0.25800289735000004,0.25800289735000004
0.29206273945000005,0.29206273945000005,0.2506639488,0.2502289161
0.29512585285000004,0.2952196845,0.2546131479,0.2546131479
0.29566662555,0.29566662555,0.2575159603,0.25730505615
0.29420399645,0.2940987774,0.25474848125,0.25474848125
0.29466418505,0.29511073705,0.2524448252,0.2524448252
0.2944533367,0.2944533367,0.2639720835,0.2639720835
0.29509925375,0.29509925375,0.2609803128,0.2609803128
0.29404459980000003,0.29404459980000003,0.2657846826,0.2657846826
0.29738199460000003,0.29738199460000003,0.25916756275,0.25916756275
0.2940980327,0.2940980327,0.2565124556,0.256530634
0.2957116512,0.2957116512,0.24980030144999998,0.24945653375000001
0.2960551777,0.2960551777,0.25540152130000005,0.25540152130000005
0.29275238525,0.293010729,0.25807092675,0.25897556745
0.29685714265,0.2969344423,0.25820475805,0.2580191451
0.2943174899,0.2943174899,0.2634634126,0.2634634126
0.296274187,0.296274187,0.26036391670000003,0.26036391670000003
0.2889310552,0.2889310552,0.250769248,0.2508716152
0.2933364255,0.2933364255,0.2519598292,0.25179189550000003
0.2942526757,0.2942526757,0.2590219607,0.2590219607
0.29615039930000003,0.2966004719,0.255691551,0.2553161426
0.2938745463,0.2942535564,0.250463096,0.250463096
0.2991551787,0.2991551787,0.2564446413,0.2564446413
0.29731831725,0.29731831725,0.26261870295,0.26261870295
0.2963506522,0.2963506522,0.2554837403,0.2554837403
0.2971748752,0.2971748752,0.25522578510000005,0.25522578510000005
0.2968992611,0.2968992611,0.26471052014999996,0.26471052014999996
0.29615148150000004,0.29625654155000003,0.25823099215,0.25823099215
0.2974822799,0.2974822799,0.25664026575,0.25686313005000005
0.2966188361,0.2966188361,0.25698287210000004,0.25698287210000004
0.298295169,0.298295169,0.26229867700000004,0.26229867700000004
0.29285728076666667,0.29285728076666667,0.25182241486666673,0.25197020896666666
0.29485660543333336,0.29485660543333336,0.2552475359,0.2551955196333333
0.2935965012,0.2935965012,0.2523258168,0.2523258168
0.26607067370000004,0.26607067370000004,0.2417681258,0.2421128284
0.2957240313,0.2957240313,0.2525829088,0.2527059691
0.29473110280000003,0.29473110280000003,0.2536108378,0.2536108378
0.29451917850000003,0.29451917850000003,0.2522788773,0.2521484706
0.2926237922,0.2926237922,0.2517189097,0.251380437
0.29418464180000004,0.29418464180000004,0.24812581150000002,0.24812581150000002
0.2975416295,0.2975416295,0.2556185325,0.2556079473
0.2980381003,0.2980381003,0.2494955593,0.24985774530000002
0.2941224099,0.2941224099,0.2483157285,0.2488075505
0.2947222011,0.2947222011,0.2536355388,0.25345020830000003
0.2940413609,0.29437558140000003,0.2525433038,0.2530865258
0.29576955180000003,0.29576955180000003,0.2577802903,0.25829222360000004
0.29708850540000004,0.29708850540000004,0.2519533828,0.2519533828
0.2961608739,0.29615028995000003,0.25449476405000004,0.25449476405000004
0.29613305570000004,0.29613305570000004,0.2570299059,0.2573079776
0.29362388285,0.29376188430000005,0.254314535,0.25458639785000003
0.2927968213666667,0.2926010872,0.24836934683333334,0.2482445881666667
0.27520120670000003,0.2751146182,0.24387905170000002,0.2432217245
0.2870568803,0.2872523571,0.24797748900000002,0.2479105081
0.295257624,0.29515935390000003,0.2517282151,0.2511879506
0.2966483604,0.2961312547,0.25306115785,0.25306115785
0.2962489852,0.2962489852,0.2562590055,0.25579558150000004
0.2959533697,0.2969416063,0.2596503267,0.2596503267
0.2946462879,0.2946462879,0.2589520322,0.2589520322
0.29186359785000004,0.2916880034,0.2509186895,0.25072092405
0.2908379634,0.2908379634,0.2489920696,0.2492319224
0.2896940595,0.2896940595,0.25616960650000004,0.2560625756
0.2967553846,0.29655653225,0.2476859529,0.24782711115
0.2952469781,0.2952469781,0.254850817,0.254850817
0.2883502295,0.28835026575,0.24530892595,0.24543629960000002
0.2984510963,0.29904077500000004,0.2592803638,0.2592803638
0.29697836650000003,0.2969400445,0.2538729987,0.25165960130000004
0.2977687272,0.2977687272,0.2523562212,0.2523562212
0.297081702,0.297081702,0.2564100325,0.2564100325
0.2969935094,0.2969935094,0.2510576613,0.2510576613
0.2950660201,0.29517971530000003,0.24806166370000002,0.24806166370000002
0.2941570491,0.2941570491,0.2612769269,0.2612769269
0.2960004003,0.2960004003,0.2634588544,0.2634588544
0.29679579310000004,0.29679579310000004,0.24737498570000002,0.24737498570000002
0.29651246855,0.29675099535000005,0.25648524175,0.25648524175
0.2973078939,0.29732451940000004,0.2508326166,0.2508326166
0.2940185468,0.2938629566,0.24782330010000003,0.2477102832
0.2868384014,0.2871158357,0.2491584932,0.24892334
0.2954979448,0.2954979448,0.2501746358,0.2501746358
0.2984304884,0.2984304884,0.2566972023,0.25799135370000004
0.27672203,0.27659400215,0.24026369165,0.24065595795
0.2894452003,0.2887536958,0.2511370942,0.2511515364
0.2712880542,0.2710056836,0.2439679157,0.2441193411
0.2965765698,0.2965765698,0.25343549590000003,0.25343549590000003
0.2974090972,0.2974090972,0.2563351404,0.2556534775
0.2970454939,0.2970454939,0.2620956557,0.2620956557
0.2970387484,0.2970387484,0.2546564378,0.2546564378
0.2979685156,0.2979685156,0.2497985717,0.2497985717
0.29401498325000003,0.29401498325000003,0.2528091997,0.2528091997
0.29643613700000004,0.29643613700000004,0.25362764635,0.2538069606
0.2974313275,0.2974313275,0.266206481,0.26616620955000003
0.29626703825,0.29626703825,0.2567790576,0.2567790576
0.29680997659999997,0.29746405730000003,0.25635992845,0.2566452657
0.29352401945,0.29352401945,0.24846826724999999,0.24846826724999999
0.2957583247,0.2957583247,0.2564283742,0.25625621435
0.29427032935,0.29427032935,0.25361770785000004,0.25341421659999996
0.29324061525,0.2933464958,0.25634467520000004,0.2574714722
0.29385284875,0.29385284875,0.2482056676,0.2484180142
0.2932779115,0.2933086699,0.25097706705,0.25138537034999997
0.27043842095000004,0.27043842095000004,0.24436390600000002,0.24424387975
0.29374917825,0.29374917825,0.24892063675000003,0.24913964785000003
0.29580326630000003,0.29580326630000003,0.25983947560000004,0.25983947560000004
0.291354271,0.291354271,0.24612277340000002,0.24624256590000002
0.2923305309,0.2925944756,0.2491803742,0.24983858820000002
0.292149777,0.29173943,0.2457470304,0.2459524944
0.2919508798,0.29207591920000003,0.24784128600000002,0.24859265060000002
0.2943800039,0.2943800039,0.24735920120000002,0.24735920120000002
0.2927734734,0.29326745930000003,0.24987998860000002,0.2498814467
0.2919092065,0.2919092065,0.2484636039,0.24788504200000003
0.2929765666,0.2929733149,0.2458068048,0.2457151836
0.28615948950000003,0.2866386727,0.2437363665,0.2435127731
0.2879259411,0.2876591609,0.24310965910000001,0.2430206645
0.2932138569,0.2932138569,0.2489070163,0.24882043250000002
0.2967205825,0.2966674613,0.25327820945,0.25327820945
0.29403229810000003,0.2940634314,0.25394899245,0.25370239375000003
