Nspike_CA1,MHS_CA1,Nspike_SUB,MHS_SUB,Nspike_posCA1,MHS_posCA1,Nspike_posSUB,MHS_posSUB
745.5,0.574195848,2556.0,0.5287679519,745.5,0.49943762955000004,2556.0,0.5602652866
850.0,0.5779728259000001,2557.0,0.5246884696,850.0,0.4903910916,2557.0,0.517272038
548.5,0.5841437507,5866.0,0.5330269165,548.5,0.49647210195,5866.0,0.4919466053
834.0,0.551585117,3394.0,0.5436426275,834.0,0.5491378938,3394.0,0.4495120112
122.5,0.55964424935,4005.0,0.5513078699,122.5,0.54127841855,4005.0,0.48002013035
895.0,0.58601417992,3666.0,0.5248245912,895.0,0.49981383088,3666.0,0.5297698663
407.0,0.5858296219500001,3924.0,0.5553114875,407.0,0.56726179115,3924.0,0.4437638701
678.0,0.5963269896000001,9478.0,0.5117666594,678.0,0.5440626779,9478.0,0.4259968825
1890.0,0.57109000715,6342.0,0.5340634421,1890.0,0.5154763803,6342.0,0.47702140390000003
629.6666666666666,0.5591880385666667,3528.0,0.5614710099,629.6666666666666,0.5254648741,3528.0,0.4393024009
676.5,0.5328406936500001,1532.0,0.45653820570000003,676.5,0.49314988635,1532.0,0.5054266179
8360.0,0.47691139325,8983.333333333334,0.5241308843333333,8360.0,0.45591962110000006,8983.333333333334,0.44391228470000005
996.3333333333334,0.5704908117333334,4145.333333333333,0.5097845071666667,996.3333333333334,0.5036249196666667,4145.333333333333,0.4700292745666667
721.0,0.5797587746,304.6666666666667,0.6001188080666667,721.0,0.4805668556,304.6666666666667,0.5406776403000001
1110.0,0.5741939569,4146.0,0.4964157091666666,1110.0,0.47704244230000004,4146.0,0.4454392139666667
2144.0,0.5597731066,4702.6,0.50428200124,2144.0,0.5148792526,4702.6,0.46459176268
1484.0,0.5661798543000001,9438.5,0.51878138575,1484.0,0.5247922633000001,9438.5,0.4414544401
809.0,0.5720637429000001,10966.0,0.5319082878,809.0,0.5412800831,10966.0,0.4299499281
512.0,0.5244509498000001,3828.0,0.5008378334,512.0,0.450665264,3828.0,0.47804301720000003
2044.0,0.5297259592,5559.411764705882,0.5390203594882353,2044.0,0.5443892696,5559.411764705882,0.47680687791764714
412.0,0.59500891115,5924.0,0.5451866656666667,412.0,0.5316011185,5924.0,0.49150234703333334
232.0,0.6312916613999999,20888.0,0.49419447400000005,232.0,0.5575285106500001,20888.0,0.4535583467
918.5,0.58223641305,4136.6,0.5166425211200001,918.5,0.505037374725,4136.6,0.47282055132
589.0,0.573948172,4988.909090909091,0.5253361906363636,589.0,0.5139482415500001,4988.909090909091,0.4875850346727273
303.0,0.59678074555,10840.5,0.57475800565,303.0,0.5480593874,10840.5,0.50410543275
7442.0,0.5472608358,5516.333333333333,0.5240040281666666,7442.0,0.4885950082,5516.333333333333,0.47186173473333337
283.5,0.600122767,5479.75,0.538388789075,283.5,0.58988167655,5479.75,0.4637778826
2053.5,0.50311444985,5034.0,0.5344979811833332,2053.5,0.501319316,5034.0,0.47041007954999997
684.0,0.5876077661,6667.2,0.51821581796,684.0,0.5262382995,6667.2,0.48242670430000006
508.0,0.5643908233,5108.25,0.5099880117416667,508.0,0.5064474409,5108.25,0.471616106925
317.0,0.5589794001,9048.0,0.5184718216499999,317.0,0.5246704192,9048.0,0.44086652200000004
624.0,0.5903816187,7407.0,0.48621596600000005,624.0,0.4905808043,7407.0,0.5275167281
500.0,0.6054075784,5225.190476190476,0.5175018709095238,500.0,0.5216428282,5225.190476190476,0.46606663090000006
937.0,0.6075194773,7739.0,0.508324324,937.0,0.47233527480000004,7739.0,0.4709919326
782.0,0.5522622517,3579.5454545454545,0.5228596385909092,782.0,0.5439913175000001,3579.5454545454545,0.4917795953545454
1282.0,0.5758423796000001,5781.666666666667,0.5212578023,1282.0,0.4598832778,5781.666666666667,0.49758167796666664
865.0,0.5445677347,2901.9523809523807,0.5106333369380953,865.0,0.4912986285,2901.9523809523807,0.47707921561904765
186.0,0.6413268817000001,3277.75,0.5030799358250001,186.0,0.6137343813,3277.75,0.482234663655
434.0,0.5908991906500001,15251.0,0.5081049916764706,434.0,0.526056017,15251.0,0.4743509726705883
428.0,0.6437654493,6649.25,0.55103480085,428.0,0.5755225089,6649.25,0.47084854995
1458.5,0.57614264755,12107.0,0.540754073,1458.5,0.5153636699999999,12107.0,0.45862639843333336
1846.6666666666667,0.5557099731666667,1667.0,0.5322222196,1846.6666666666667,0.4990780794666667,1667.0,0.4813184226
4832.0,0.518699347,1998.6363636363637,0.5335870734909091,4832.0,0.5030242867,1998.6363636363637,0.49452649655454545
4559.0,0.5461225326,7636.375,0.505928404825,4559.0,0.47380302150000003,7636.375,0.46393713275000004
936.0,0.5488982916,5165.25,0.505310140425,936.0,0.53167187,5165.25,0.48796510877500004
384.0,0.587802945,10277.0,0.5527819341666667,384.0,0.5604830992500001,10277.0,0.4775946620666667
189.5,0.61199530295,2520.3333333333335,0.49614680373333336,189.5,0.59186472565,2520.3333333333335,0.45803479246666673
124.0,0.6058990239,4464.888888888889,0.5220668012444444,124.0,0.5967637553,4464.888888888889,0.47008953696666667
138.0,0.6537949849,4201.0,0.49293522230000003,138.0,0.5493920081,4201.0,0.4856014200333334
1728.0,0.5787086623500001,627.3333333333334,0.540781287,1728.0,0.49915426305,627.3333333333334,0.502794844
2287.0,0.5789320255,13203.75,0.527564776475,2287.0,0.5383172714000001,13203.75,0.45968251000000004
1154.0,0.5415650675,4464.882352941177,0.5376098958588236,1154.0,0.4831233567,4464.882352941177,0.4800477420235294
