OHK-OR_CA1,OHK-XOR_CA1,OHK-PossOR_CA1,OHK-PossXOR_CA1
0.3714477084,0.3714477084,0.23413678335000002,0.23413678335000002
0.3742440715,0.3742440715,0.22926789160000002,0.22926789160000002
0.3149559806,0.3149559806,0.2093077076,0.2093077076
0.36229909585,0.36229909585,0.24464210715,0.24465783345000003
0.3633089485,0.3633089485,0.220643938,0.220643938
0.35677563,0.35677563,0.22795986465,0.22795986465
0.35601587095,0.35601587095,0.22178692125,0.22179536500000002
0.3387316562,0.3387316562,0.19899720745000002,0.19899857125
0.39008879335,0.39008879335,0.22358488910000002,0.22358488910000002
0.36934803465,0.36923093510000005,0.19837931305,0.19837931305
0.3506670764,0.3506670764,0.21335257815000003,0.2132704982
0.37904830089999997,0.37904830089999997,0.2131266565,0.2131266565
0.3884780836,0.3884780836,0.1849204313,0.1849204313
0.3524318232,0.3524318232,0.2246080815,0.2246080815
0.4026637577,0.4026637577,0.19264172470000002,0.1927527641
0.39017024295,0.39017024295,0.2189412021,0.2189412021
0.3677067393,0.3677067393,0.19450648405,0.19407113355
0.33316332785,0.3331590375,0.19611182855,0.19611182855
0.38243885580000003,0.38243885580000003,0.2161267739,0.21595961325000002
0.35654534035,0.35669349195,0.22882883335,0.22882883335
0.3703218142,0.37039360925000003,0.21465844595,0.21465844595
0.3633192256,0.3633192256,0.2317871183,0.2317871183
0.37367900965,0.37367900965,0.23733166345,0.23733166345
0.4136081414,0.4136081414,0.2553687166,0.2553687166
0.36647810975000006,0.36647810975000006,0.20964780055,0.20964780055
0.39529254225,0.39529254225,0.20270298055000002,0.20263940055000002
0.35443902065,0.35443902065,0.19796251815000002,0.19785734255
0.40477407195000004,0.40477407195000004,0.21310432595,0.21310432595
0.3827073951,0.37253877030000004,0.20825259420000003,0.20816369865
0.40571548825000003,0.36819452210000003,0.1873109524,0.18732957760000002
0.3480258175,0.3480258175,0.23603731890000001,0.23603731890000001
0.36781038400000005,0.36781038400000005,0.20654109680000002,0.20654109680000002
0.3136317033,0.3136317033,0.2094588809,0.20949142810000002
0.3363422662,0.3363422662,0.19412815790000001,0.1941739074
0.3617738857,0.3617738857,0.1935035116,0.1935035116
0.3559690795,0.3558441963,0.2043088965,0.2041082301
0.3748770376,0.3747886023,0.20774819830000002,0.20774819830000002
