Rmax_OHK,OHK-AND_CA1,Rmax_OHK,OHK-OR_CA1,PossRmax_OHK,OHK-PossAND_CA1,PossRmax_OHK,OHK-PossOR_CA1
0.370571351825,0.0,0.370571351825,0.3714477084,0.24067276157500003,0.0,0.24067276157500003,0.23413678335000002
0.394942897425,0.0,0.394942897425,0.3742440715,0.24555365102500004,0.0,0.24555365102500004,0.22926789160000002
0.36333685655000003,0.0,0.36333685655000003,0.3149559806,0.23914647655000001,0.0,0.23914647655000001,0.2093077076
0.371951677425,0.0,0.371951677425,0.36229909585,0.291342828975,0.0,0.291342828975,0.24464210715
0.37360583295,0.0,0.37360583295,0.3633089485,0.22318258805000002,0.0,0.22318258805000002,0.220643938
0.39796023015000004,0.0,0.39796023015000004,0.35677563,0.24491141230000002,0.0,0.24491141230000002,0.22795986465
0.37767492560000004,0.0,0.37767492560000004,0.35601587095,0.254125250675,0.0,0.254125250675,0.22178692125
0.369290899975,0.0,0.369290899975,0.3387316562,0.23165221845,0.0,0.23165221845,0.19899720745000002
0.407335603475,0.0,0.407335603475,0.39008879335,0.239909777725,0.0,0.239909777725,0.22358488910000002
0.393714509375,0.0,0.393714509375,0.36934803465,0.242925542875,0.0,0.242925542875,0.19837931305
0.39998695895,0.0,0.39998695895,0.3506670764,0.231046225625,0.0,0.231046225625,0.21335257815000003
0.38794460905,0.0,0.38794460905,0.37904830089999997,0.23277924185000004,0.0,0.23277924185000004,0.2131266565
0.369268923,0.0,0.369268923,0.3884780836,0.21238174835,0.0,0.21238174835,0.1849204313
0.36495338905,0.0,0.36495338905,0.3524318232,0.2785684198,0.0,0.2785684198,0.2246080815
0.35367718975,0.0,0.35367718975,0.4026637577,0.2243984979,0.0,0.2243984979,0.19264172470000002
0.390961941775,0.0,0.390961941775,0.39017024295,0.23213700312500002,0.0,0.23213700312500002,0.2189412021
0.37067663722500005,0.0,0.37067663722500005,0.3677067393,0.24135084150000002,0.5793801643000001,0.24135084150000002,0.19450648405
0.36229261160000004,0.0,0.36229261160000004,0.33316332785,0.218877809275,0.0,0.218877809275,0.19611182855
0.4003373151,0.0,0.4003373151,0.38243885580000003,0.22713536855000002,0.0,0.22713536855000002,0.2161267739
0.386716221,0.0,0.386716221,0.35654534035,0.2301511337,0.0,0.2301511337,0.22882883335
0.39298867057500003,0.0,0.39298867057500003,0.3703218142,0.21827181645,0.0,0.21827181645,0.21465844595
0.36404593,0.0,0.36404593,0.3633192256,0.21567612245,0.0,0.21567612245,0.2317871183
0.38932493465,0.0,0.38932493465,0.37367900965,0.28344930925000006,0.0,0.28344930925000006,0.23733166345
0.40764327395,0.0,0.40764327395,0.4136081414,0.23086590270000001,0.0,0.23086590270000001,0.2553687166
0.415333487375,0.0,0.415333487375,0.36647810975000006,0.237017892575,0.0,0.237017892575,0.20964780055
0.39504818282500004,0.0,0.39504818282500004,0.39529254225,0.24623173095,0.0,0.24623173095,0.20270298055000002
0.3866641572,0.0,0.3866641572,0.35443902065,0.223758698725,0.0,0.223758698725,0.19796251815000002
0.42470886069999997,0.0,0.42470886069999997,0.40477407195000004,0.23201625800000003,0.0,0.23201625800000003,0.21310432595
0.4110877666,0.5793801643000001,0.4110877666,0.3827073951,0.23503202315000005,0.0,0.23503202315000005,0.20825259420000003
0.417360216175,0.5793801643000001,0.417360216175,0.40571548825000003,0.22315270590000003,0.0,0.22315270590000003,0.1873109524
0.3688447987,0.0,0.3688447987,0.3480258175,0.28036925775,0.0,0.28036925775,0.23603731890000001
0.3872472758,0.0,0.3872472758,0.36781038400000005,0.23098404445,0.0,0.23098404445,0.20654109680000002
0.3522754641,0.0,0.3522754641,0.3136317033,0.225530921,0.0,0.225530921,0.2094588809
