Nspike_CA1,MHK_CA1,Nspike_SUB,MHK_SUB,Nspike_posCA1,MHK_posCA1,Nspike_posSUB,MHK_posSUB
745.5,0.48573208570000004,2556.0,0.4576621216,745.5,0.41175292965,2556.0,0.3791891181
850.0,0.47636794410000005,2557.0,0.4497067544,850.0,0.40948775335,2557.0,0.4021666828
548.5,0.49674519445000004,5866.0,0.46426999280000003,548.5,0.42465950185,5866.0,0.3821999437
834.0,0.4733530026,3394.0,0.4391085859,834.0,0.4097457995,3394.0,0.3885876646
122.5,0.4960425075,4005.0,0.44705149325000004,122.5,0.485223224,4005.0,0.3974035788
895.0,0.48743071990000003,3666.0,0.44856625450000004,895.0,0.41881820342000003,3666.0,0.398416468
407.0,0.4918975239,3924.0,0.47606236360000004,407.0,0.41967738355,3924.0,0.3809182574
678.0,0.48552068375,9478.0,0.4569519423,678.0,0.4206898653,9478.0,0.3866658315
1890.0,0.483751297425,6342.0,0.4684725461,1890.0,0.402213224425,6342.0,0.3828337129
629.6666666666666,0.48971795650000005,3528.0,0.43679195940000004,629.6666666666666,0.4199023358666667,3528.0,0.4148740334
676.5,0.48446685255,1532.0,0.4175508872,676.5,0.40832352040000003,1532.0,0.394172858
8360.0,0.42430116885,8983.333333333334,0.46503380583333337,8360.0,0.3824151376,8983.333333333334,0.3881223408666667
996.3333333333334,0.4868933786333334,4145.333333333333,0.43505945246666666,996.3333333333334,0.41346965286666665,4145.333333333333,0.3952953215333333
721.0,0.4801367441,304.6666666666667,0.4432985676,721.0,0.3946334554,304.6666666666667,0.4325059931333333
1110.0,0.49207048280000004,4146.0,0.4250426654333333,1110.0,0.4056024024,4146.0,0.39473233326666674
2144.0,0.48933670440000004,4702.6,0.42815987424,2144.0,0.42435067330000004,4702.6,0.38838701322
1484.0,0.48507352210000004,9438.5,0.46116531475,1484.0,0.4088532143,9438.5,0.3891711801
809.0,0.484043908,10966.0,0.4451477052,809.0,0.39963493250000004,10966.0,0.37911746230000004
512.0,0.47772280040000004,3828.0,0.4494795742,512.0,0.41777837360000003,3828.0,0.38691075410000003
2044.0,0.4792144063,5559.411764705882,0.45541486744117643,2044.0,0.4044154258,5559.411764705882,0.3884046693058824
412.0,0.48726342925,5924.0,0.4472606189000001,412.0,0.39660983390000004,5924.0,0.38327417350000004
232.0,0.5006907884,20888.0,0.44627207170000005,232.0,0.4140927579,20888.0,0.380767117
918.5,0.47802494155,4136.6,0.43742823304,918.5,0.41605939265,4136.6,0.3901691158599999
589.0,0.48799534525,4988.909090909091,0.4503762220363637,589.0,0.43436890110000004,4988.909090909091,0.3897081724
303.0,0.4928904622,10840.5,0.47135049325,303.0,0.42621792565000005,10840.5,0.39124988425
7442.0,0.42918103105000005,5516.333333333333,0.4540201877666667,7442.0,0.386406665,5516.333333333333,0.3929488633666667
283.5,0.48616076905000005,5479.75,0.44956635827499997,283.5,0.4445580397,5479.75,0.39150524670000003
2053.5,0.42978314955,5034.0,0.4519034497666667,2053.5,0.39475343095000004,5034.0,0.39223256445
684.0,0.4863927105,6667.2,0.4303547228399999,684.0,0.4155255557,6667.2,0.39175936994000005
508.0,0.48220218480000004,5108.25,0.4278073183666667,508.0,0.42130382580000003,5108.25,0.39263917522499997
317.0,0.4840152099,9048.0,0.436965125425,317.0,0.4423773965,9048.0,0.382733532675
624.0,0.4960112458,7407.0,0.4301246244,624.0,0.40101316610000004,7407.0,0.3821352203
500.0,0.4964991557,5225.190476190476,0.4330101460571429,500.0,0.4134331781,5225.190476190476,0.3900577194809524
937.0,0.4731580912,7739.0,0.4404592297,937.0,0.4069578719,7739.0,0.4007868779
782.0,0.4914609063,3579.5454545454545,0.43302755195454545,782.0,0.4080597781,3579.5454545454545,0.3990426401181818
1282.0,0.47706700760000004,5781.666666666667,0.44776424023333333,1282.0,0.40114968370000004,5781.666666666667,0.38245620900000005
865.0,0.49900418,2901.9523809523807,0.42072649996666667,865.0,0.40426018010000003,2901.9523809523807,0.3934624290428572
186.0,0.4793237229,3277.75,0.4215142826399999,186.0,0.444551894,3277.75,0.39408844228500006
434.0,0.492153836,15251.0,0.4321430961117647,434.0,0.42661268805,15251.0,0.3835543281588235
428.0,0.48775811950000003,6649.25,0.466393952725,428.0,0.4387822081,6649.25,0.38713545132500005
1458.5,0.4835824294,12107.0,0.4557780529,1458.5,0.40136844435,12107.0,0.3852631353666667
1846.6666666666667,0.469298148,1667.0,0.447626693,1846.6666666666667,0.39766200153333336,1667.0,0.4027082442
4832.0,0.4396103512,1998.6363636363637,0.44103130924545453,4832.0,0.3973934106,1998.6363636363637,0.4029301002545454
4559.0,0.46020995000000003,7636.375,0.4334893659875,4559.0,0.3799360506,7636.375,0.384905765525
936.0,0.49042611900000005,5165.25,0.4345339963,936.0,0.4053306894,5165.25,0.38904010665
384.0,0.4955328827,10277.0,0.46645050173333336,384.0,0.42961858925,10277.0,0.3849179416
189.5,0.48275108955,2520.3333333333335,0.4228435879666666,189.5,0.42439324100000003,2520.3333333333335,0.3981899957333333
124.0,0.4677519343,4464.888888888889,0.44105924081111114,124.0,0.44704814260000003,4464.888888888889,0.3960152282166666
138.0,0.46526218620000004,4201.0,0.4397565837000001,138.0,0.4532634256,4201.0,0.39100090923333336
1728.0,0.48215535215000005,627.3333333333334,0.4685168893,1728.0,0.40608595670000003,627.3333333333334,0.4139605526666667
2287.0,0.483509471,13203.75,0.455483319975,2287.0,0.39865733750000004,13203.75,0.381069308575
1154.0,0.45029560220000003,4464.882352941177,0.47091163245882356,1154.0,0.412169192,4464.882352941177,0.39147225911176475
