Nspike_CA1,MSR_CA1,Nspike_SUB,MSR_SUB,Nspike_posCA1,MSR_posCA1,Nspike_posSUB,MSR_posSUB
745.5,0.29779345175000005,2556.0,0.2829697906,745.5,0.26063994170000004,2556.0,0.2510833798
850.0,0.2937636625,2557.0,0.2745100089,850.0,0.25876668464999997,2557.0,0.250075027
548.5,0.2950081952,5866.0,0.2767093269,548.5,0.26336674930000004,5866.0,0.24439131690000002
834.0,0.29496416340000003,3394.0,0.2715398506,834.0,0.2592859164,3394.0,0.24540529430000002
122.5,0.29448972925,4005.0,0.27264637185,122.5,0.27559473455,4005.0,0.2496773416
895.0,0.29612587118,3666.0,0.2700038251,895.0,0.25877479280000004,3666.0,0.2490573181
407.0,0.29713309045,3924.0,0.288373253,407.0,0.26412895420000004,3924.0,0.24441509220000002
678.0,0.29611821215,9478.0,0.2797852543,678.0,0.26220635960000005,9478.0,0.2447843291
1890.0,0.296278798425,6342.0,0.2857088138,1890.0,0.2536241952,6342.0,0.244246749
629.6666666666666,0.2943759264,3528.0,0.2699727044,629.6666666666666,0.26120939076666666,3528.0,0.2541607382
676.5,0.29363282850000005,1532.0,0.2621063637,676.5,0.2594310176,1532.0,0.2515585838
8360.0,0.26022221125,8983.333333333334,0.2769566141,8360.0,0.24269944105000002,8983.333333333334,0.24295655733333332
996.3333333333334,0.2975061004333333,4145.333333333333,0.26713878570000005,996.3333333333334,0.2574309906,4145.333333333333,0.24878305933333333
721.0,0.2953188554,304.6666666666667,0.28032032846666666,721.0,0.25755188160000003,304.6666666666667,0.2657060247333333
1110.0,0.2968512211,4146.0,0.2622615781,1110.0,0.2567280713,4146.0,0.24852544736666668
2144.0,0.2932377672,4702.6,0.26500024398,2144.0,0.2569554027,4702.6,0.24653658102000003
1484.0,0.29730395930000003,9438.5,0.2766471316,1484.0,0.25441039390000003,9438.5,0.2435892087
809.0,0.2988599611,10966.0,0.2727262152,809.0,0.2556273585,10966.0,0.2398989817
512.0,0.2985752481,3828.0,0.26911381830000003,512.0,0.2594284859,3828.0,0.2471465026
2044.0,0.2962989632,5559.411764705882,0.2762192327352941,2044.0,0.2554633797,5559.411764705882,0.2454963972882353
412.0,0.2910487412,5924.0,0.2731448722333334,412.0,0.25191019495,5924.0,0.24547347486666668
232.0,0.2917847051,20888.0,0.2651371887,232.0,0.26295631785,20888.0,0.23795675165000002
918.5,0.2950622807,4136.6,0.26891684421999995,918.5,0.25834040175,4136.6,0.24764341480000002
589.0,0.29393025275,4988.909090909091,0.2743082446818182,589.0,0.26323567459999997,4988.909090909091,0.24626234963636362
303.0,0.2879024766,10840.5,0.28502776175,303.0,0.2609834069,10840.5,0.24720989005
7442.0,0.2669102828,5516.333333333333,0.2768080182,7442.0,0.24522140400000003,5516.333333333333,0.24778699010000002
283.5,0.2908207011,5479.75,0.27521744665,283.5,0.2693639348,5479.75,0.2464455066
2053.5,0.2644434174,5034.0,0.2777432696111111,2053.5,0.2516311943,5034.0,0.24697314412777777
684.0,0.2978026491,6667.2,0.26543485974000003,684.0,0.2644446089,6667.2,0.24530621644000003
508.0,0.2934060174,5108.25,0.26384419178333335,508.0,0.2607978821,5108.25,0.24659858119166667
317.0,0.29681192970000003,9048.0,0.2673222004,317.0,0.2665788583,9048.0,0.24209428902500002
624.0,0.2947144358,7407.0,0.2646734991,624.0,0.2498471157,7407.0,0.2451965478
500.0,0.2976597198,5225.190476190476,0.2656379039904762,500.0,0.2600775041,5225.190476190476,0.24690117645238097
937.0,0.29569713200000003,7739.0,0.2697424581,937.0,0.2597025206,7739.0,0.2473279247
782.0,0.29672804810000003,3579.5454545454545,0.2684644963181818,782.0,0.2591762818,3579.5454545454545,0.24939603772727273
1282.0,0.29434872230000003,5781.666666666667,0.27430080686666664,1282.0,0.254378787,5781.666666666667,0.2441328932
865.0,0.2956158916,2901.9523809523807,0.2625179771190476,865.0,0.2605625207,2901.9523809523807,0.24933557929523809
186.0,0.2924171189,3277.75,0.26233231364000004,186.0,0.2731889846,3277.75,0.24959887903999997
434.0,0.29678173215000003,15251.0,0.2625301721941177,434.0,0.2597872282,15251.0,0.2405371093882353
428.0,0.294638746,6649.25,0.280610408925,428.0,0.2678198473,6649.25,0.24471622180000002
1458.5,0.29139581800000003,12107.0,0.27507179303333334,1458.5,0.25598387205000006,12107.0,0.24192584783333335
1846.6666666666667,0.2875876243666667,1667.0,0.2751587414,1846.6666666666667,0.2522413927666667,1667.0,0.2510460923
4832.0,0.26414912700000004,1998.6363636363637,0.2746310070181818,4832.0,0.2489605171,1998.6363636363637,0.25337379757272727
4559.0,0.2784643761,7636.375,0.2615558080375,4559.0,0.2431950682,7636.375,0.2440585688375
936.0,0.29552631560000003,5165.25,0.26655165735,936.0,0.2522342314,5165.25,0.247199890375
384.0,0.2950905112,10277.0,0.28351509680000003,384.0,0.26495763485,10277.0,0.24245349360000001
189.5,0.29514138865,2520.3333333333335,0.26186810273333333,189.5,0.2680944662,2520.3333333333335,0.2509197074
124.0,0.29852300460000003,4464.888888888889,0.2693670574611111,124.0,0.2816856755,4464.888888888889,0.2489655484611111
138.0,0.2869514888,4201.0,0.2671268116,138.0,0.2785639206,4201.0,0.24704560316666668
1728.0,0.29025008055,627.3333333333334,0.2913756049666667,1728.0,0.25500097135,627.3333333333334,0.2615766752
2287.0,0.289103001,13203.75,0.27018207712500003,2287.0,0.2535181123,13203.75,0.2405678047
1154.0,0.27543748970000004,4464.882352941177,0.2854225546882353,1154.0,0.25717041020000003,4464.882352941177,0.24687670850000001
