OHK_CA1,PInfo_CA1,OHK_SUB,PInfo_SUB,OHK_posCA1,PInfo_posCA1,OHK_posSUB,PInfo_posSUB
0.3775696402,2.5372341147000004,0.2942187411,0.6646039371,0.3775696402,0.48250099345,0.2942187411,0.6543266
0.36357306345,1.98633518925,0.23977258740000001,0.4696772362,0.36357306345,0.50696440345,0.23977258740000001,0.6262264309000001
0.41231615465000004,3.1509642236,0.22812684090000002,0.5454536447,0.41231615465000004,0.4019870158,0.22812684090000002,0.7700009133
0.3467512733,1.7229768999,0.2503860833,0.3733407327,0.3467512733,0.49148829460000004,0.2503860833,0.6404248058
0.36633371465,3.01656100595,0.23158399915,0.3898254472,0.36633371465,0.2038105494,0.23158399915,0.7535739693000001
0.39099260254,2.61219192678,0.2029857746,0.3301115881,0.39099260254,0.5122395401200001,0.2029857746,0.7040707947
0.4183508201,2.89248723545,0.34953051160000004,0.7911091010000001,0.4183508201,0.38073195495,0.34953051160000004,0.7043123071
0.37778021100000003,2.01437081615,0.2563537703,0.4517220817,0.37778021100000003,0.46521869930000004,0.2563537703,1.0041369215
0.368510123875,1.79883899315,0.27755843150000004,0.4627192591,0.368510123875,0.6987976519500001,0.27755843150000004,0.9898061586
0.37890105553333336,2.3053412674000002,0.2053814987,0.3894146321,0.37890105553333336,0.4295762709,0.2053814987,0.6955549161
0.40188291605000004,1.9669564555,0.22891704810000002,0.38679352510000004,0.40188291605000004,0.46542892395,0.22891704810000002,0.5011908441
0.18633916805,0.27544393345,0.24774143933333334,0.4665280939666667,0.18633916805,1.3342643034000001,0.24774143933333334,1.3063852457333334
0.3771705181,2.4032309986333336,0.19677194803333334,0.3529350699,0.3771705181,0.5266555148666666,0.19677194803333334,0.9694006280999999
0.374804295,2.9678660932,0.3657692164,2.6842563222333333,0.374804295,0.5881430745,0.3657692164,0.3238167641333333
0.3915981088,1.7390893525000002,0.19681242033333335,0.34852582793333337,0.3915981088,0.5042214864,0.19681242033333335,0.9454013759333334
0.2972930385,1.3026412212,0.19560004116000002,0.35472055282000003,0.2972930385,0.62284882,0.19560004116000002,0.89797312518
0.3695803267,1.3432928364,0.2347197217,0.38530689035,0.3695803267,0.5589744138,0.2347197217,1.23759217675
0.3229960879,1.7763469215,0.2144914632,0.3427780961,0.3229960879,0.4167151189,0.2144914632,1.3845518651
0.40097389720000004,2.449155013,0.200802001,0.37418476100000003,0.40097389720000004,0.32949910790000003,0.200802001,0.9065597113
0.3364511133,1.2654885793,0.24213341750588235,0.4524940504294118,0.3364511133,0.6061230501,0.24213341750588235,1.025122798364706
0.40523842220000006,4.64833931165,0.2326290752,0.36510713950000007,0.40523842220000006,0.3854717348,0.2326290752,0.9810343507333333
0.3520630766,5.74452250985,0.16166685940000003,0.2893237272,0.3520630766,0.3307096793,0.16166685940000003,1.7245016688500001
0.386307478225,2.6433055115250004,0.20761192918,0.37778342732000003,0.386307478225,0.557105159425,0.20761192918,0.89024120916
0.38304058944999997,3.6687483991,0.22953118060909095,0.42200759353636363,0.38304058944999997,0.43312919695,0.22953118060909095,0.9315244990727273
0.35712776700000004,4.9868687954999995,0.2688407547,0.7440368795,0.35712776700000004,0.30755752575,0.2688407547,1.11139333185
0.2314531001,0.3309864292,0.2554837248333333,0.4927689283,0.2314531001,1.2631678705,0.2554837248333333,1.0467852539666667
0.39576740465000004,2.8003148657,0.243129051675,0.47536635745,0.39576740465000004,0.32278602365000003,0.243129051675,1.004651203225
0.20284725920000002,0.4571070263,0.2632168072666667,0.5301472853833334,0.20284725920000002,0.7346754364500001,0.2632168072666667,0.9771798908888889
0.3713375054,3.1657624191,0.20283817412,0.30936335592,0.3713375054,0.5363772207,0.20283817412,0.9778584697400001
0.40830971930000004,2.5442730584,0.20486366750833337,0.34271839395000003,0.40830971930000004,0.37160263060000004,0.20486366750833337,0.9616222392999999
0.3640393751,2.8497856896,0.1989523976,0.32611826610000005,0.3640393751,0.3538867109,0.1989523976,1.204936273625
0.4152900118,2.1840561059,0.18309742610000002,0.2739101369,0.4152900118,0.4348328537,0.18309742610000002,1.2210201749
0.4162813891,3.9273339087,0.20552769238571433,0.36697071437619044,0.4162813891,0.4403929736,0.20552769238571433,0.9640322815619048
